compound_id,class_id
CNP0131061.4,"506    507
Name: class_id, dtype: int64"
CNP0213216.16,"471    472
Name: class_id, dtype: int64"
CNP0201102.2,"32    33
Name: class_id, dtype: int64"
CNP0070038.2,"471    472
Name: class_id, dtype: int64"
CNP0277000.2,"528    529
Name: class_id, dtype: int64"
CNP0217799.1,"338    339
Name: class_id, dtype: int64"
CNP0193324.0,"30    31
Name: class_id, dtype: int64"
CNP0184438.2,"321    322
Name: class_id, dtype: int64"
CNP0205942.1,"471    472
Name: class_id, dtype: int64"
CNP0086390.0,"123    124
Name: class_id, dtype: int64"
CNP0154990.2,"321    322
Name: class_id, dtype: int64"
CNP0207495.6,"583    584
Name: class_id, dtype: int64"
CNP0321538.0,"330    331
Name: class_id, dtype: int64"
CNP0298598.2,"349    350
Name: class_id, dtype: int64"
CNP0075441.1,"471    472
Name: class_id, dtype: int64"
CNP0283823.3,"322    323
Name: class_id, dtype: int64"
CNP0271530.1,"506    507
Name: class_id, dtype: int64"
CNP0333500.1,"341    342
Name: class_id, dtype: int64"
CNP0326806.1,"471    472
Name: class_id, dtype: int64"
CNP0330217.1,"589    590
Name: class_id, dtype: int64"
CNP0272121.2,"321    322
Name: class_id, dtype: int64"
CNP0199010.1,"341    342
Name: class_id, dtype: int64"
CNP0290145.3,"463    464
Name: class_id, dtype: int64"
CNP0255720.0,"581    582
Name: class_id, dtype: int64"
CNP0075195.1,"321    322
Name: class_id, dtype: int64"
CNP0250363.1,"546    547
Name: class_id, dtype: int64"
CNP0359787.5,"216    217
Name: class_id, dtype: int64"
CNP0075305.1,"560    561
Name: class_id, dtype: int64"
CNP0331659.1,"546    547
Name: class_id, dtype: int64"
CNP0567580.0,"Series([], Name: class_id, dtype: int64)"
CNP0495044.1,"478    479
Name: class_id, dtype: int64"
CNP0163430.5,"132    133
Name: class_id, dtype: int64"
CNP0250575.1,"520    521
Name: class_id, dtype: int64"
CNP0262893.4,"322    323
Name: class_id, dtype: int64"
CNP0198090.1,"321    322
Name: class_id, dtype: int64"
CNP0076193.2,"309    310
Name: class_id, dtype: int64"
CNP0286835.1,"589    590
Name: class_id, dtype: int64"
CNP0264911.2,"309    310
Name: class_id, dtype: int64"
CNP0245347.0,"Series([], Name: class_id, dtype: int64)"
CNP0107621.0,"299    300
Name: class_id, dtype: int64"
CNP0341384.0,"348    349
Name: class_id, dtype: int64"
CNP0097007.2,"471    472
Name: class_id, dtype: int64"
CNP0322121.0,"336    337
Name: class_id, dtype: int64"
CNP0074987.1,"589    590
Name: class_id, dtype: int64"
CNP0249351.1,"467    468
Name: class_id, dtype: int64"
CNP0148913.1,"487    488
Name: class_id, dtype: int64"
CNP0075131.0,"32    33
Name: class_id, dtype: int64"
CNP0114538.3,"538    539
Name: class_id, dtype: int64"
CNP0281132.1,"589    590
Name: class_id, dtype: int64"
CNP0218623.1,"339    340
Name: class_id, dtype: int64"
CNP0261513.3,"599    600
Name: class_id, dtype: int64"
CNP0255718.1,"Series([], Name: class_id, dtype: int64)"
CNP0197665.3,"560    561
Name: class_id, dtype: int64"
CNP0218870.3,"49    50
Name: class_id, dtype: int64"
CNP0111941.0,"321    322
Name: class_id, dtype: int64"
CNP0340059.1,"593    594
Name: class_id, dtype: int64"
CNP0416687.1,"466    467
Name: class_id, dtype: int64"
CNP0118734.3,"468    469
Name: class_id, dtype: int64"
CNP0075551.1,"528    529
Name: class_id, dtype: int64"
CNP0250396.2,"321    322
Name: class_id, dtype: int64"
CNP0084708.0,"Series([], Name: class_id, dtype: int64)"
CNP0546519.2,"540    541
Name: class_id, dtype: int64"
CNP0573340.0,"196    197
Name: class_id, dtype: int64"
