compound_id,pathway_id
CNP0131061.4,"6    7
Name: pathway_id, dtype: int64"
CNP0213216.16,"6    7
Name: pathway_id, dtype: int64"
CNP0201102.2,"0    1
Name: pathway_id, dtype: int64"
CNP0070038.2,"6    7
Name: pathway_id, dtype: int64"
CNP0277000.2,"6    7
Name: pathway_id, dtype: int64"
CNP0217799.1,"Series([], Name: pathway_id, dtype: int64)"
CNP0193324.0,"0    1
Name: pathway_id, dtype: int64"
CNP0184438.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0205942.1,"6    7
Name: pathway_id, dtype: int64"
CNP0086390.0,"1    2
Name: pathway_id, dtype: int64"
CNP0086390.0,"Series([], Name: pathway_id, dtype: int64)"
CNP0154990.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0207495.6,"6    7
Name: pathway_id, dtype: int64"
CNP0321538.0,"Series([], Name: pathway_id, dtype: int64)"
CNP0298598.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0075441.1,"6    7
Name: pathway_id, dtype: int64"
CNP0283823.3,"Series([], Name: pathway_id, dtype: int64)"
CNP0271530.1,"6    7
Name: pathway_id, dtype: int64"
CNP0333500.1,"Series([], Name: pathway_id, dtype: int64)"
CNP0326806.1,"6    7
Name: pathway_id, dtype: int64"
CNP0330217.1,"6    7
Name: pathway_id, dtype: int64"
CNP0272121.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0199010.1,"Series([], Name: pathway_id, dtype: int64)"
CNP0290145.3,"6    7
Name: pathway_id, dtype: int64"
CNP0255720.0,"6    7
Name: pathway_id, dtype: int64"
CNP0075195.1,"Series([], Name: pathway_id, dtype: int64)"
CNP0250363.1,"6    7
Name: pathway_id, dtype: int64"
CNP0359787.5,"3    4
Name: pathway_id, dtype: int64"
CNP0075305.1,"6    7
Name: pathway_id, dtype: int64"
CNP0331659.1,"6    7
Name: pathway_id, dtype: int64"
CNP0567580.0,"4    5
Name: pathway_id, dtype: int64"
CNP0495044.1,"6    7
Name: pathway_id, dtype: int64"
CNP0163430.5,"2    3
Name: pathway_id, dtype: int64"
CNP0250575.1,"6    7
Name: pathway_id, dtype: int64"
CNP0262893.4,"Series([], Name: pathway_id, dtype: int64)"
CNP0198090.1,"Series([], Name: pathway_id, dtype: int64)"
CNP0076193.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0286835.1,"6    7
Name: pathway_id, dtype: int64"
CNP0264911.2,"Series([], Name: pathway_id, dtype: int64)"
CNP0245347.0,"4    5
Name: pathway_id, dtype: int64"
CNP0107621.0,"4    5
Name: pathway_id, dtype: int64"
CNP0341384.0,"Series([], Name: pathway_id, dtype: int64)"
CNP0097007.2,"6    7
Name: pathway_id, dtype: int64"
