inchi_key,cids
IQAWVYINTAIBSH-POVWYJMBSA-N,162867362.0
MIJYXULNPSFWEK-YOQSOQNOSA-N,11655458.0
GGOJRYWHKVYFQK-BIWMIDHDSA-N,385737.0
ITCLZCQAYVLWPY-LDTNTTFZSA-N,44584017.0
ZILVNWQDAWWXCU-FCCPFWGBSA-N,163003024.0
OQUXSJDSDHAMOY-TZIWHRDSSA-N,44575274.0
RKJOFPQXRCCVLF-UHFFFAOYSA-N,122206493.0
CIPXOJHYPOCFSV-RWGANMMZSA-N,15959354.0
CHSHRZREHDMNAY-ISGYFWRUSA-N,162935843.0
DGJMPUGMZIKDRO-UHFFFAOYSA-N,7898.0
PHEWILLIAJUBQE-LFXZADKFSA-N,14704554.0
CAHGCLMLTWQZNJ-WZLOIPHISA-N,441678.0
VKZMZDFCRUHZNI-UHFFFAOYSA-N,5281630.0
NHFRPJOFIIVAEB-AQTBKIRRSA-N,102469379.0
HTRWDRPXGPNFAE-KDNWRJNNSA-N,162817450.0
ODVSJFWWHXUHJP-HYALVKKASA-N,163040319.0
DMXHXBGUNHLMQO-VVDUVEGASA-N,163008950.0
CFVDWETUWOVTAN-KGSVEASRSA-N,
JLYPCVMYPPXIDO-JUGURZMSSA-N,46844882.0
ZEWOIAUBFARIND-WXHBLRKFSA-N,163044905.0
ATWFGCRPHGGEQP-BZDSGMRHSA-N,101248755.0
SBEPSCJFOSFEPL-JVRFTMPWSA-N,44259341.0
LMNRGRFQEDPBIF-DIPFLXFMSA-N,101517209.0
HVAVUZLEYSAYGE-UXOAXIEHSA-N,21593552.0
YKFLAYDHMOASIY-UHFFFAOYSA-N,7461.0
VIJJWHNVAFSCLB-VPTCZNJJSA-N,162817145.0
QYDZDLCERJLVOK-LRJNHNEYSA-N,6442949.0
LLPYDSMSNNUQCD-XBYDQYMBSA-N,6442916.0
RIGGEAZDTKMXSI-CUHSZNQNSA-N,10447175.0
BSEUVBISSZPVKT-VWTWQKNVSA-N,
BPLQKQKXWHCZSS-UHFFFAOYSA-N,10248.0
AUFQZNLYPNBSRV-FQHKNELOSA-N,101192570.0
PWSUYVPATIVWCL-TYURWWHESA-N,14021404.0
JKWCMFFAFBMEMW-UHFFFAOYSA-N,102138994.0
LZDCVIUKAHOBOO-RTPXSMORSA-N,73054320.0
