original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Francoeuria crispa,3095568,7222802,Francoeuria crispa (Forssk.) Cass.,Plantae,Pulicaria,Pulicaria undulata,7222802,Asteraceae
Dizygotheca kerchoveana,3037954,3037952,Dizygotheca kerchoveiana (Veitch ex W.Richards) N.Taylor,Plantae,Schefflera,Schefflera kerchoveiana,3037952,Araliaceae
Atropa belladonna,3802655,,Atropa belladonna L.,Plantae,Atropa,Atropa belladonna,3802655,Solanaceae
Calystegia sepium (L.) R.Br.,2928441,,Calystegia sepium (L.) R.Br.,Plantae,Calystegia,Calystegia sepium,2928441,Convolvulaceae
Withania frutescens,3801152,,Withania frutescens (L.) Pauquy,Plantae,Withania,Withania frutescens,3801152,Solanaceae
Withania somnifera,2928840,,Withania somnifera (L.) Dunal,Plantae,Withania,Withania somnifera,2928840,Solanaceae
Albizia grandibracteata,2972995,,Albizia grandibracteata Taub.,Plantae,Albizia,Albizia grandibracteata,2972995,Fabaceae
Ajuga pseudoiva,3886776,7307171,Ajuga pseudoiva Robill. & Castagne,Plantae,Ajuga,Ajuga iva,7307171,Lamiaceae
Neorautanenia mitis,2971170,,Neorautanenia mitis (A.Rich.) Verdc.,Plantae,Neorautanenia,Neorautanenia mitis,2971170,Fabaceae
Asparagus horridus,2768695,,Asparagus horridus L.,Plantae,Asparagus,Asparagus horridus,2768695,Asparagaceae
Agrimonia pilosa,3002003,,Agrimonia pilosa Ledeb.,Plantae,Agrimonia,Agrimonia pilosa,3002003,Rosaceae
Amomum longiligulare,5301623,10748345,Amomum longiligulare T.L.Wu,Plantae,Wurfbainia,Wurfbainia longiligularis,10748345,Zingiberaceae
Amomum villosum,5301710,11082522,Amomum villosum Lour.,Plantae,Wurfbainia,Wurfbainia villosa,11082522,Zingiberaceae
Amomum xanthioides,8093158,,Amomum xanthioides Wall.,Plantae,Amomum,Amomum xanthioides,8093158,Zingiberaceae
Astragalus complanatus,5346136,2938179,Astragalus complanatus R.Br. ex Bunge,Plantae,Phyllolobium,Phyllolobium chinense,2938179,Fabaceae
Breea segeta,7337325,4274470,Breea segetum (Bunge) Kitam.,Plantae,Cirsium,Cirsium arvense,4274470,Asteraceae
Cirsium setosum,3113426,3113414,Cirsium setosum (Willd.) Besser ex M.Bieb.,Plantae,Cirsium,Cirsium arvense,3113414,Asteraceae
Cornus officinalis,7161076,,Cornus officinalis Siebold & Zucc.,Plantae,Cornus,Cornus officinalis,7161076,Cornaceae
Crocus sativus,2747430,,Crocus sativus L.,Plantae,Crocus,Crocus sativus,2747430,Iridaceae
Ekebergia capensis,3851310,,Ekebergia capensis Sparrm.,Plantae,Ekebergia,Ekebergia capensis,3851310,Meliaceae
Embelia schimperi,3719794,,Embelia schimperi Vatke,Plantae,Embelia,Embelia schimperi,3719794,Primulaceae
Isatis tinctoria,5374118,,Isatis tinctoria L.,Plantae,Isatis,Isatis tinctoria,5374118,Brassicaceae
Nelumbo nucifera,2882449,,Nelumbo nucifera Gaertn.,Plantae,Nelumbo,Nelumbo nucifera,2882449,Nelumbonaceae
Orostachys fimbriata,7334770,,Orostachys fimbriata (Turcz.) A.Berger,Plantae,Orostachys,Orostachys fimbriata,7334770,Crassulaceae
Orostachys japonicus,7334756,,Orostachys japonica (Maxim.) A.Berger,Plantae,Orostachys,Orostachys japonica,7334756,Crassulaceae
Persicaria tinctoria,4032517,,Persicaria tinctoria (Aiton) H.Gross,Plantae,Persicaria,Persicaria tinctoria,4032517,Polygonaceae
Sinopodophyllum hexandrum,3981186,,Sinopodophyllum hexandrum (Royle) T.S.Ying,Plantae,Sinopodophyllum,Sinopodophyllum hexandrum,3981186,Berberidaceae
Tussilago farfara,3149879,,Tussilago farfara L.,Plantae,Tussilago,Tussilago farfara,3149879,Asteraceae
Schefflera arboricola,8322892,,"Schefflera arboricola Hayata, 1916",Plantae,Schefflera,Schefflera arboricola,8322892,Araliaceae
Hypericum japonicum,7948012,,Hypericum japonicum Thunb.,Plantae,Hypericum,Hypericum japonicum,7948012,Hypericaceae
Aconitum nevadense,8342940,,Aconitum nevadense Uechtr. ex Gáyer,Plantae,Aconitum,Aconitum nevadense,8342940,Ranunculaceae
Alseodaphne corneri,4182805,4182219,Alseodaphne corneri Kosterm.,Plantae,Alseodaphne,Alseodaphne paludosa,4182219,Lauraceae
Ammi visnaga,3034183,5371753,Ammi visnaga (L.) Lam.,Plantae,Visnaga,Visnaga daucoides,5371753,Apiaceae
Annona impressivenia,5407089,5407088,Annona impressivenia Saff. ex R.E.Fr.,Plantae,Annona,Annona salzmannii,5407088,Annonaceae
Bersama yangambiensis,3845320,,Bersama yangambiensis L.Touss.,Plantae,Bersama,Bersama yangambiensis,3845320,Melianthaceae
Boscia salicifolia,5602398,,Boscia salicifolia Oliv.,Plantae,Boscia,Boscia salicifolia,5602398,Capparaceae
Castanopsis sclerophylla,5333066,,Castanopsis sclerophylla (Lindl. & Paxton) Schottky,Plantae,Castanopsis,Castanopsis sclerophylla,5333066,Fagaceae
