original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family,family_id
Francoeuria crispa,3095568,7222802.0,Francoeuria crispa (Forssk.) Cass.,Plantae,Pulicaria,Pulicaria undulata,7222802,Asteraceae,423
Dizygotheca kerchoveana,3037954,3037952.0,Dizygotheca kerchoveiana (Veitch ex W.Richards) N.Taylor,Plantae,Schefflera,Schefflera kerchoveiana,3037952,Araliaceae,441
Atropa belladonna,3802655,,Atropa belladonna L.,Plantae,Atropa,Atropa belladonna,3802655,Solanaceae,388
Calystegia sepium (L.) R.Br.,2928441,,Calystegia sepium (L.) R.Br.,Plantae,Calystegia,Calystegia sepium,2928441,Convolvulaceae,385
Withania frutescens,3801152,,Withania frutescens (L.) Pauquy,Plantae,Withania,Withania frutescens,3801152,Solanaceae,388
Withania somnifera,2928840,,Withania somnifera (L.) Dunal,Plantae,Withania,Withania somnifera,2928840,Solanaceae,388
Albizia grandibracteata,2972995,,Albizia grandibracteata Taub.,Plantae,Albizia,Albizia grandibracteata,2972995,Fabaceae,193
Ajuga pseudoiva,3886776,7307171.0,Ajuga pseudoiva Robill. & Castagne,Plantae,Ajuga,Ajuga iva,7307171,Lamiaceae,396
Neorautanenia mitis,2971170,,Neorautanenia mitis (A.Rich.) Verdc.,Plantae,Neorautanenia,Neorautanenia mitis,2971170,Fabaceae,193
Asparagus horridus,2768695,,Asparagus horridus L.,Plantae,Asparagus,Asparagus horridus,2768695,Asparagaceae,64
Agrimonia pilosa,3002003,,Agrimonia pilosa Ledeb.,Plantae,Agrimonia,Agrimonia pilosa,3002003,Rosaceae,204
Amomum longiligulare,5301623,10748345.0,Amomum longiligulare T.L.Wu,Plantae,Wurfbainia,Wurfbainia longiligularis,10748345,Zingiberaceae,93
Amomum villosum,5301710,11082522.0,Amomum villosum Lour.,Plantae,Wurfbainia,Wurfbainia villosa,11082522,Zingiberaceae,93
Amomum xanthioides,8093158,,Amomum xanthioides Wall.,Plantae,Amomum,Amomum xanthioides,8093158,Zingiberaceae,93
Astragalus complanatus,5346136,2938179.0,Astragalus complanatus R.Br. ex Bunge,Plantae,Phyllolobium,Phyllolobium chinense,2938179,Fabaceae,193
Breea segeta,7337325,4274470.0,Breea segetum (Bunge) Kitam.,Plantae,Cirsium,Cirsium arvense,4274470,Asteraceae,423
Cirsium setosum,3113426,3113414.0,Cirsium setosum (Willd.) Besser ex M.Bieb.,Plantae,Cirsium,Cirsium arvense,3113414,Asteraceae,423
Cornus officinalis,7161076,,Cornus officinalis Siebold & Zucc.,Plantae,Cornus,Cornus officinalis,7161076,Cornaceae,342
Crocus sativus,2747430,,Crocus sativus L.,Plantae,Crocus,Crocus sativus,2747430,Iridaceae,72
Ekebergia capensis,3851310,,Ekebergia capensis Sparrm.,Plantae,Ekebergia,Ekebergia capensis,3851310,Meliaceae,255
Embelia schimperi,3719794,,Embelia schimperi Vatke,Plantae,Embelia,Embelia schimperi,3719794,Primulaceae,362
Isatis tinctoria,5374118,,Isatis tinctoria L.,Plantae,Isatis,Isatis tinctoria,5374118,Brassicaceae,273
Nelumbo nucifera,2882449,,Nelumbo nucifera Gaertn.,Plantae,Nelumbo,Nelumbo nucifera,2882449,Nelumbonaceae,119
Orostachys fimbriata,7334770,,Orostachys fimbriata (Turcz.) A.Berger,Plantae,Orostachys,Orostachys fimbriata,7334770,Crassulaceae,132
Orostachys japonicus,7334756,,Orostachys japonica (Maxim.) A.Berger,Plantae,Orostachys,Orostachys japonica,7334756,Crassulaceae,132
Persicaria tinctoria,4032517,,Persicaria tinctoria (Aiton) H.Gross,Plantae,Persicaria,Persicaria tinctoria,4032517,Polygonaceae,333
Sinopodophyllum hexandrum,3981186,,Sinopodophyllum hexandrum (Royle) T.S.Ying,Plantae,Sinopodophyllum,Sinopodophyllum hexandrum,3981186,Berberidaceae,112
Tussilago farfara,3149879,,Tussilago farfara L.,Plantae,Tussilago,Tussilago farfara,3149879,Asteraceae,423
Schefflera arboricola,8322892,,"Schefflera arboricola Hayata, 1916",Plantae,Schefflera,Schefflera arboricola,8322892,Araliaceae,441
Hypericum japonicum,7948012,,Hypericum japonicum Thunb.,Plantae,Hypericum,Hypericum japonicum,7948012,Hypericaceae,170
Aconitum nevadense,8342940,,Aconitum nevadense Uechtr. ex Gáyer,Plantae,Aconitum,Aconitum nevadense,8342940,Ranunculaceae,118
Alseodaphne corneri,4182805,4182219.0,Alseodaphne corneri Kosterm.,Plantae,Alseodaphne,Alseodaphne paludosa,4182219,Lauraceae,25
Ammi visnaga,3034183,5371753.0,Ammi visnaga (L.) Lam.,Plantae,Visnaga,Visnaga daucoides,5371753,Apiaceae,439
Annona impressivenia,5407089,5407088.0,Annona impressivenia Saff. ex R.E.Fr.,Plantae,Annona,Annona salzmannii,5407088,Annonaceae,15
Bersama yangambiensis,3845320,,Bersama yangambiensis L.Touss.,Plantae,Bersama,Bersama yangambiensis,3845320,Melianthaceae,226
Boscia salicifolia,5602398,,Boscia salicifolia Oliv.,Plantae,Boscia,Boscia salicifolia,5602398,Capparaceae,275
Castanopsis sclerophylla,5333066,,Castanopsis sclerophylla (Lindl. & Paxton) Schottky,Plantae,Castanopsis,Castanopsis sclerophylla,5333066,Fagaceae,209
Colchicum laetum,2739818,,Colchicum laetum Steven,Plantae,Colchicum,Colchicum laetum,2739818,Colchicaceae,55
Cordylanthus kingii,5414568,,Cordylanthus kingii S.Watson,Plantae,Cordylanthus,Cordylanthus kingii,5414568,Orobanchaceae,403
Crataegus laevigata,8252683,,Crataegus laevigata (Poir.) DC.,Plantae,Crataegus,Crataegus laevigata,8252683,Rosaceae,204
Croton cumingii,3057966,3057960.0,Croton cumingii Müll.Arg.,Plantae,Croton,Croton cascarilloides,3057960,Euphorbiaceae,166
Disynaphia halimifolia,3142344,,Disynaphia halimifolia (DC.) R.M.King & H.Rob.,Plantae,Disynaphia,Disynaphia halimifolia,3142344,Asteraceae,423
Doodia picta,5353688,2956572.0,Doodia picta Roxb.,Plantae,Uraria,Uraria picta,2956572,Fabaceae,193
Eragrostis viscosa,2705441,,Eragrostis viscosa (Retz.) Trin.,Plantae,Eragrostis,Eragrostis viscosa,2705441,Poaceae,102
Forsteronia refracta,7316893,,Forsteronia refracta Müll.Arg.,Plantae,Forsteronia,Forsteronia refracta,7316893,Apocynaceae,376
Fridericia chica,7669080,,Fridericia chica (Bonpl.) L.G.Lohmann,Plantae,Fridericia,Fridericia chica,7669080,Bignoniaceae,391
Grewia mollis,4261595,,Grewia mollis Juss.,Plantae,Grewia,Grewia mollis,4261595,Malvaceae,265
Heterotheca grandiflora,5401996,,Heterotheca grandiflora Nutt.,Plantae,Heterotheca,Heterotheca grandiflora,5401996,Asteraceae,423
Hovenia acerba,7273758,,Hovenia acerba Lindl.,Plantae,Hovenia,Hovenia acerba,7273758,Rhamnaceae,203
Inula britannica,7502456,,"Inula britannica M.Bieb., 1808",Plantae,Inula,Inula britannica,7502456,Asteraceae,423
Juglans nigra,3054357,,Juglans nigra L.,Plantae,Juglans,Juglans nigra,3054357,Juglandaceae,210
Kaempferia marginata,7466313,,Kaempferia marginata Carey,Plantae,Kaempferia,Kaempferia marginata,7466313,Zingiberaceae,93
Kaunia saltensis,3140614,,Kaunia saltensis (Hieron.) R.M.King & H.Rob.,Plantae,Kaunia,Kaunia saltensis,3140614,Asteraceae,423
Mangifera indica,3190638,,Mangifera indica L.,Plantae,Mangifera,Mangifera indica,3190638,Anacardiaceae,251
Melia volkensii,5597440,,Melia volkensii Gürke,Plantae,Melia,Melia volkensii,5597440,Meliaceae,255
Narcissus concolor,2858545,4928420.0,Narcissus concolor (Haw.) Link,Plantae,Narcissus,Narcissus triandrus,4928420,Amaryllidaceae,63
Nauclea officinalis,5339131,,Nauclea officinalis (Pierre ex Pit.) Merr. & Chun,Plantae,Nauclea,Nauclea officinalis,5339131,Rubiaceae,381
Oncoba echinata,2874148,2874147.0,Oncoba echinata Oliv.,Plantae,Caloncoba,Caloncoba echinata,2874147,Achariaceae,153
Oxytropis racemosa,5361048,,Oxytropis racemosa Turcz.,Plantae,Oxytropis,Oxytropis racemosa,5361048,Fabaceae,193
Oxytropis strobilacea,5361260,,Oxytropis strobilacea Bunge,Plantae,Oxytropis,Oxytropis strobilacea,5361260,Fabaceae,193
Parabenzoin trilobum,4176847,8041138.0,Parabenzoin trilobum (Siebold & Zucc.) Nakai,Plantae,Lindera,Lindera triloba,8041138,Lauraceae,25
Pelargonium roseum,7906295,,Pelargonium × roseum (Andrews),Plantae,Pelargonium,Pelargonium roseum,7906295,Geraniaceae,229
Pentanema britannicum,10010617,,"Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Plantae,Pentanema,Pentanema britannicum,10010617,Asteraceae,423
Phragmites australis,5290149,,Phragmites australis (Cav.) Trin. ex Steud.,Plantae,Phragmites,Phragmites australis,5290149,Poaceae,102
Polygonum orientale,11042282,,"Polygonum orientale R.Br., 1810",Plantae,Polygonum,Polygonum orientale,11042282,Polygonaceae,333
Ruta pinnata,7943360,,Ruta pinnata L.fil.,Plantae,Ruta,Ruta pinnata,7943360,Rutaceae,257
Salvia blepharophylla,3883534,,Salvia blepharophylla Brandegee ex Epling,Plantae,Salvia,Salvia blepharophylla,3883534,Lamiaceae,396
Salvia dorrii,2927059,,Salvia dorrii (Kellogg) Abrams,Plantae,Salvia,Salvia dorrii,2927059,Lamiaceae,396
Sophora angustifolia,2959081,7224878.0,Sophora angustifolia Siebold & Zucc.,Plantae,Sophora,Sophora flavescens,7224878,Fabaceae,193
Stevia polycephala,8258805,,Stevia polycephala Bertol.,Plantae,Stevia,Stevia polycephala,8258805,Asteraceae,423
Teucrium depressum,3897129,,Teucrium depressum Small,Plantae,Teucrium,Teucrium depressum,3897129,Lamiaceae,396
Thymus piperella,8354272,,Thymus piperella L.,Plantae,Thymus,Thymus piperella,8354272,Lamiaceae,396
Trichilia rubescens,3851456,,Trichilia rubescens Oliv.,Plantae,Trichilia,Trichilia rubescens,3851456,Meliaceae,255
Wikstroemia canescens,8324421,,Wikstroemia canescens Wall. ex Meisn.,Plantae,Wikstroemia,Wikstroemia canescens,8324421,Thymelaeaceae,270
