original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Francoeuria crispa,3095568,7222802,Francoeuria crispa (Forssk.) Cass.,Plantae
Dizygotheca kerchoveana,3037954,3037952,Dizygotheca kerchoveiana (Veitch ex W.Richards) N.Taylor,Plantae
Atropa belladonna,3802655,NA,Atropa belladonna L.,Plantae
Calystegia sepium (L.) R.Br.,2928441,NA,Calystegia sepium (L.) R.Br.,Plantae
Withania frutescens,3801152,NA,Withania frutescens (L.) Pauquy,Plantae
Withania somnifera,2928840,NA,Withania somnifera (L.) Dunal,Plantae
Albizia grandibracteata,2972995,NA,Albizia grandibracteata Taub.,Plantae
Ajuga pseudoiva,3886776,7307171,Ajuga pseudoiva Robill. & Castagne,Plantae
Neorautanenia mitis,2971170,NA,Neorautanenia mitis (A.Rich.) Verdc.,Plantae
Asparagus horridus,2768695,NA,Asparagus horridus L.,Plantae
Asparagus stipularis,2768697,2768695,Asparagus stipularis Forssk.,Plantae
Agrimonia pilosa,3002003,NA,Agrimonia pilosa Ledeb.,Plantae
Amomum longiligulare,5301623,10748345,Amomum longiligulare T.L.Wu,Plantae
Amomum villosum,5301710,11082522,Amomum villosum Lour.,Plantae
Amomum xanthioides,8093158,NA,Amomum xanthioides Wall.,Plantae
Astragalus complanatus,5346136,2938179,Astragalus complanatus R.Br. ex Bunge,Plantae
Breea segeta,7337325,4274470,Breea segetum (Bunge) Kitam.,Plantae
Cirsium setosum,3113426,3113414,Cirsium setosum (Willd.) Besser ex M.Bieb.,Plantae
Cornus officinalis,7161076,NA,Cornus officinalis Siebold & Zucc.,Plantae
Crocus sativus,2747430,NA,Crocus sativus L.,Plantae
Ekebergia capensis,3851310,NA,Ekebergia capensis Sparrm.,Plantae
Embelia schimperi,3719794,NA,Embelia schimperi Vatke,Plantae
Isatis tinctoria,5374118,NA,Isatis tinctoria L.,Plantae
Nelumbo nucifera,2882449,NA,Nelumbo nucifera Gaertn.,Plantae
Orostachys fimbriata,7334770,NA,Orostachys fimbriata (Turcz.) A.Berger,Plantae
Orostachys japonicus,7334756,NA,Orostachys japonica (Maxim.) A.Berger,Plantae
Persicaria tinctoria,4032517,NA,Persicaria tinctoria (Aiton) H.Gross,Plantae
Physalis alkekengi,7717,NA,Solanaceae,Plantae
Sinopodophyllum hexandrum,3981186,NA,Sinopodophyllum hexandrum (Royle) T.S.Ying,Plantae
Tussilago farfara,3149879,NA,Tussilago farfara L.,Plantae
Schefflera arboricola,8322892,NA,"Schefflera arboricola Hayata, 1916",Plantae
Hypericum japonicum,7948012,NA,Hypericum japonicum Thunb.,Plantae
Aconitum nevadense,8342940,NA,Aconitum nevadense Uechtr. ex Gáyer,Plantae
Alseodaphne corneri,4182805,4182219,Alseodaphne corneri Kosterm.,Plantae
Ammi visnaga,3034183,5371753,Ammi visnaga (L.) Lam.,Plantae
Annona impressivenia,5407089,5407088,Annona impressivenia Saff. ex R.E.Fr.,Plantae
Bersama yangambiensis,3845320,NA,Bersama yangambiensis L.Touss.,Plantae
Boscia salicifolia,5602398,NA,Boscia salicifolia Oliv.,Plantae
Castanopsis sclerophylla,5333066,NA,Castanopsis sclerophylla (Lindl. & Paxton) Schottky,Plantae
Colchicum laetum,2739818,NA,Colchicum laetum Steven,Plantae
Conocephalum japonicum,2688560,12226933,Conocephalum japonicum (Thunb.) Grolle,Plantae
Cordylanthus kingii,5414568,NA,Cordylanthus kingii S.Watson,Plantae
Crataegus laevigata,8252683,NA,Crataegus laevigata (Poir.) DC.,Plantae
Croton cumingii,3057966,3057960,Croton cumingii Müll.Arg.,Plantae
Disynaphia halimifolia,3142344,NA,Disynaphia halimifolia (DC.) R.M.King & H.Rob.,Plantae
Doodia picta,5353688,2956572,Doodia picta Roxb.,Plantae
Eragrostis viscosa,2705441,NA,Eragrostis viscosa (Retz.) Trin.,Plantae
Forsteronia refracta,7316893,NA,Forsteronia refracta Müll.Arg.,Plantae
Fridericia chica,7669080,NA,Fridericia chica (Bonpl.) L.G.Lohmann,Plantae
Grewia mollis,4261595,NA,Grewia mollis Juss.,Plantae
Gymnocarpium robertianum,2650841,NA,Gymnocarpium robertianum (Hoffm.) Newman,Plantae
Heliotropium floridum,7295319,NA,Heliotropium floridum (A.DC.) Clos,Plantae
Heterotheca grandiflora,5401996,NA,Heterotheca grandiflora Nutt.,Plantae
Hovenia acerba,7273758,NA,Hovenia acerba Lindl.,Plantae
Inula britannica,7502456,NA,"Inula britannica M.Bieb., 1808",Plantae
Juglans nigra,3054357,NA,Juglans nigra L.,Plantae
Kaempferia marginata,7466313,NA,Kaempferia marginata Carey,Plantae
Kaunia saltensis,3140614,NA,Kaunia saltensis (Hieron.) R.M.King & H.Rob.,Plantae
Macrozamia macdonnellii,2683589,NA,Macrozamia macdonnellii (F.Muell. ex Miq.) A.DC.,Plantae
