Scientific Name,Taxon Rank
scientificName,taxonRank
Plantae,kingdom
angiosperms,clade
Amborellales,order
Amborellaceae,family
Nymphaeales,order
Cabombaceae,family
Hydatellaceae,family
Nymphaeaceae,family
Austrobaileyales,order
Austrobaileyaceae,family
Schisandraceae,family
Trimeniaceae,family
magnoliids,clade
Canellales,order
Canellaceae,family
Winteraceae,family
Piperales,order
Aristolochiaceae,family
Hydnoraceae,family
Lactoridaceae,family
Piperaceae,family
Saururaceae,family
Magnoliales,order
Annonaceae,family
Degeneriaceae,family
Eupomatiaceae,family
Himantandraceae,family
Myristicaceae,family
Magnoliaceae,family
Laurales,order
Atherospermataceae,family
Calycanthaceae,family
Gomortegaceae,family
Hernandiaceae,family
Lauraceae,family
Monimiaceae,family
Siparunaceae,family
Chloranthales,order
Chloranthaceae,family
monocots,clade
Acorales,order
Acoraceae,family
Alismatales,order
Alismataceae,family
Aponogetonaceae,family
Araceae,family
Butomaceae,family
Cymodoceaceae,family
Hydrocharitaceae,family
Juncaginaceae,family
Maundiaceae,family
Posidoniaceae,family
Potamogetonaceae,family
Ruppiaceae,family
Scheuchzeriaceae,family
Tofieldiaceae,family
Zosteraceae,family
Petrosaviales,order
Petrosaviaceae,family
Dioscoreales,order
Burmanniaceae,family
Dioscoreaceae,family
Nartheciaceae,family
Pandanales,order
Cyclanthaceae,family
Pandanaceae,family
Stemonaceae,family
Triuridaceae,family
Velloziaceae,family
Liliales,order
Alstroemeriaceae,family
Campynemataceae,family
Colchicaceae,family
Corsiaceae,family
Liliaceae,family
Melanthiaceae,family
Petermanniaceae,family
Philesiaceae,family
Ripogonaceae,family
Smilacaceae,family
Asparagales,order
Amaryllidaceae,family
Asparagaceae,family
Asphodelaceae,family
Xanthorrhoeaceae,family
Asteliaceae,family
Blandfordiaceae,family
Boryaceae,family
Doryanthaceae,family
Hypoxidaceae,family
Iridaceae,family
Ixioliriaceae,family
Lanariaceae,family
Orchidaceae,family
Tecophilaeaceae,family
Xeronemataceae,family
Arecales,order
Dasypogonaceae,family
Arecaceae,family
Palmae,family
Commelinales,order
Commelinaceae,family
Haemodoraceae,family
Hanguanaceae,family
Philydraceae,family
Pontederiaceae,family
Zingiberales,order
Cannaceae,family
Costaceae,family
Heliconiaceae,family
Lowiaceae,family
Marantaceae,family
Musaceae,family
Strelitziaceae,family
Zingiberaceae,family
Poales,order
Bromeliaceae,family
Cyperaceae,family
Ecdeiocoleaceae,family
Eriocaulaceae,family
Flagellariaceae,family
Joinvilleaceae,family
Juncaceae,family
Mayacaceae,family
Poaceae,family
Gramineae,family
Rapateaceae,family
Restionaceae,family
Anarthriaceae,family
Centrolepidaceae,family
Thurniaceae,family
Typhaceae,family
Xyridaceae,family
Ceratophyllales,order
Ceratophyllaceae,family
eudicots,clade
Ranunculales,order
Berberidaceae,family
Circaeasteraceae,family
Eupteleaceae,family
Lardizabalaceae,family
Menispermaceae,family
Papaveraceae,family
Ranunculaceae,family
Proteales,order
Nelumbonaceae,family
Platanaceae,family
Proteaceae,family
Sabiaceae,family
Trochodendrales,order
Trochodendraceae,family
Buxales,order
Buxaceae,family
Haptanthaceae,family
core,eudicots
Gunnerales,order
Gunneraceae,family
Myrothamnaceae,family
Dilleniales,order
Dilleniaceae,family
superrosids,clade
Saxifragales,order
Altingiaceae,family
Aphanopetalaceae,family
Cercidiphyllaceae,family
Crassulaceae,family
Cynomoriaceae,family
Daphniphyllaceae,family
Grossulariaceae,family
Haloragaceae,family
Hamamelidaceae,family
Iteaceae,family
Paeoniaceae,family
Penthoraceae,family
Peridiscaceae,family
Saxifragaceae,family
Tetracarpaeaceae,family
rosids,clade
Celastrales,order
Celastraceae,family
Lepidobotryaceae,family
Oxalidales,order
Brunelliaceae,family
Cephalotaceae,family
Connaraceae,family
Cunoniaceae,family
Elaeocarpaceae,family
Huaceae,family
Oxalidaceae,family
Malpighiales,order
Achariaceae,family
Balanopaceae,family
Bonnetiaceae,family
Calophyllaceae,family
Caryocaraceae,family
Centroplacaceae,family
Chrysobalanaceae,family
Clusiaceae,family
Guttiferae,family
Ctenolophonaceae,family
Dichapetalaceae,family
Elatinaceae,family
Erythroxylaceae,family
Euphorbiaceae,family
Euphroniaceae,family
Goupiaceae,family
Humiriaceae,family
Hypericaceae,family
Irvingiaceae,family
Ixonanthaceae,family
Lacistemataceae,family
Linaceae,family
Lophopyxidaceae,family
Malpighiaceae,family
Ochnaceae,family
Pandaceae,family
Passifloraceae,family
Peraceae,family
Phyllanthaceae,family
Picrodendraceae,family
Podostemaceae,family
Putranjivaceae,family
Rafflesiaceae,family
Rhizophoraceae,family
Salicaceae,family
Trigoniaceae,family
Violaceae,family
Vitales,order
Vitaceae,family
fabids,clade
Zygophyllales,order
Krameriaceae,family
Zygophyllaceae,family
Fabales,order
Fabaceae,family
Leguminosae,family
Polygalaceae,family
Quillajaceae,family
Surianaceae,family
Rosales,order
Barbeyaceae,family
Cannabaceae,family
Dirachmaceae,family
Elaeagnaceae,family
Moraceae,family
Rhamnaceae,family
Rosaceae,family
Ulmaceae,family
Urticaceae,family
Fagales,order
Betulaceae,family
Casuarinaceae,family
Fagaceae,family
Juglandaceae,family
Myricaceae,family
Nothofagaceae,family
Ticodendraceae,family
Cucurbitales,order
Anisophylleaceae,family
Apodanthaceae,family
Begoniaceae,family
Coriariaceae,family
Corynocarpaceae,family
Cucurbitaceae,family
Datiscaceae,family
Tetramelaceae,family
malvids,clade
Geraniales,order
Francoaceae,family
Bersamaceae,family
Greyiaceae,family
Ledocarpaceae,family
Melianthaceae,family
Rhynchothecaceae,family
Vivianiaceae,family
Geraniaceae,family
Myrtales,order
Alzateaceae,family
Combretaceae,family
Crypteroniaceae,family
Lythraceae,family
Melastomataceae,family
Myrtaceae,family
Onagraceae,family
Penaeaceae,family
Vochysiaceae,family
Crossosomatales,order
