family_id,family,order_id
1,Amborellaceae,1
2,Cabombaceae,2
3,Hydatellaceae,2
4,Nymphaeaceae,2
5,Austrobaileyaceae,3
6,Schisandraceae,3
7,Trimeniaceae,3
8,Canellaceae,4
9,Winteraceae,4
10,Aristolochiaceae,5
11,Hydnoraceae,5
12,Lactoridaceae,5
13,Piperaceae,5
14,Saururaceae,5
15,Annonaceae,6
16,Degeneriaceae,6
17,Eupomatiaceae,6
18,Himantandraceae,6
19,Myristicaceae,6
20,Magnoliaceae,6
21,Atherospermataceae,7
22,Calycanthaceae,7
23,Gomortegaceae,7
24,Hernandiaceae,7
25,Lauraceae,7
26,Monimiaceae,7
27,Siparunaceae,7
28,Chloranthaceae,8
29,Acoraceae,9
30,Alismataceae,10
31,Aponogetonaceae,10
32,Araceae,10
33,Butomaceae,10
34,Cymodoceaceae,10
35,Hydrocharitaceae,10
36,Juncaginaceae,10
37,Maundiaceae,10
38,Posidoniaceae,10
39,Potamogetonaceae,10
40,Ruppiaceae,10
41,Scheuchzeriaceae,10
42,Tofieldiaceae,10
43,Zosteraceae,10
44,Petrosaviaceae,11
45,Burmanniaceae,12
46,Dioscoreaceae,12
47,Nartheciaceae,12
48,Cyclanthaceae,13
49,Pandanaceae,13
50,Stemonaceae,13
51,Triuridaceae,13
52,Velloziaceae,13
53,Alstroemeriaceae,14
54,Campynemataceae,14
55,Colchicaceae,14
56,Corsiaceae,14
57,Liliaceae,14
58,Melanthiaceae,14
59,Petermanniaceae,14
60,Philesiaceae,14
61,Ripogonaceae,14
62,Smilacaceae,14
63,Amaryllidaceae,15
64,Asparagaceae,15
65,Asphodelaceae,15
66,Xanthorrhoeaceae,15
67,Asteliaceae,15
68,Blandfordiaceae,15
69,Boryaceae,15
70,Doryanthaceae,15
71,Hypoxidaceae,15
72,Iridaceae,15
73,Ixioliriaceae,15
74,Lanariaceae,15
75,Orchidaceae,15
76,Tecophilaeaceae,15
77,Xeronemataceae,15
78,Dasypogonaceae,16
79,Arecaceae,16
80,Palmae,16
81,Commelinaceae,17
82,Haemodoraceae,17
83,Hanguanaceae,17
84,Philydraceae,17
85,Pontederiaceae,17
86,Cannaceae,18
87,Costaceae,18
88,Heliconiaceae,18
89,Lowiaceae,18
90,Marantaceae,18
91,Musaceae,18
92,Strelitziaceae,18
93,Zingiberaceae,18
94,Bromeliaceae,19
95,Cyperaceae,19
96,Ecdeiocoleaceae,19
97,Eriocaulaceae,19
98,Flagellariaceae,19
99,Joinvilleaceae,19
100,Juncaceae,19
101,Mayacaceae,19
102,Poaceae,19
103,Gramineae,19
104,Rapateaceae,19
105,Restionaceae,19
106,Anarthriaceae,19
107,Centrolepidaceae,19
108,Thurniaceae,19
109,Typhaceae,19
110,Xyridaceae,19
111,Ceratophyllaceae,20
112,Berberidaceae,21
113,Circaeasteraceae,21
114,Eupteleaceae,21
115,Lardizabalaceae,21
116,Menispermaceae,21
117,Papaveraceae,21
118,Ranunculaceae,21
119,Nelumbonaceae,22
120,Platanaceae,22
121,Proteaceae,22
122,Sabiaceae,22
123,Trochodendraceae,23
124,Buxaceae,24
125,Haptanthaceae,24
126,Gunneraceae,25
127,Myrothamnaceae,25
128,Dilleniaceae,26
129,Altingiaceae,27
130,Aphanopetalaceae,27
131,Cercidiphyllaceae,27
132,Crassulaceae,27
133,Cynomoriaceae,27
134,Daphniphyllaceae,27
135,Grossulariaceae,27
136,Haloragaceae,27
137,Hamamelidaceae,27
138,Iteaceae,27
139,Paeoniaceae,27
140,Penthoraceae,27
141,Peridiscaceae,27
142,Saxifragaceae,27
143,Tetracarpaeaceae,27
144,Celastraceae,28
145,Lepidobotryaceae,28
146,Brunelliaceae,29
147,Cephalotaceae,29
148,Connaraceae,29
149,Cunoniaceae,29
150,Elaeocarpaceae,29
151,Huaceae,29
152,Oxalidaceae,29
153,Achariaceae,30
154,Balanopaceae,30
155,Bonnetiaceae,30
156,Calophyllaceae,30
157,Caryocaraceae,30
158,Centroplacaceae,30
159,Chrysobalanaceae,30
160,Clusiaceae,30
161,Guttiferae,30
162,Ctenolophonaceae,30
163,Dichapetalaceae,30
164,Elatinaceae,30
165,Erythroxylaceae,30
166,Euphorbiaceae,30
167,Euphroniaceae,30
168,Goupiaceae,30
169,Humiriaceae,30
170,Hypericaceae,30
171,Irvingiaceae,30
172,Ixonanthaceae,30
173,Lacistemataceae,30
174,Linaceae,30
175,Lophopyxidaceae,30
176,Malpighiaceae,30
177,Ochnaceae,30
178,Pandaceae,30
179,Passifloraceae,30
180,Peraceae,30
181,Phyllanthaceae,30
182,Picrodendraceae,30
183,Podostemaceae,30
184,Putranjivaceae,30
185,Rafflesiaceae,30
186,Rhizophoraceae,30
187,Salicaceae,30
188,Trigoniaceae,30
189,Violaceae,30
190,Vitaceae,31
191,Krameriaceae,32
192,Zygophyllaceae,32
193,Fabaceae,33
194,Leguminosae,33
195,Polygalaceae,33
196,Quillajaceae,33
197,Surianaceae,33
198,Barbeyaceae,34
199,Cannabaceae,34
200,Dirachmaceae,34
201,Elaeagnaceae,34
202,Moraceae,34
203,Rhamnaceae,34
204,Rosaceae,34
205,Ulmaceae,34
206,Urticaceae,34
207,Betulaceae,35
208,Casuarinaceae,35
209,Fagaceae,35
210,Juglandaceae,35
211,Myricaceae,35
212,Nothofagaceae,35
213,Ticodendraceae,35
214,Anisophylleaceae,36
215,Apodanthaceae,36
216,Begoniaceae,36
217,Coriariaceae,36
218,Corynocarpaceae,36
219,Cucurbitaceae,36
220,Datiscaceae,36
221,Tetramelaceae,36
222,Francoaceae,37
223,Bersamaceae,37
224,Greyiaceae,37
225,Ledocarpaceae,37
226,Melianthaceae,37
227,Rhynchothecaceae,37
228,Vivianiaceae,37
229,Geraniaceae,37
230,Alzateaceae,38
231,Combretaceae,38
232,Crypteroniaceae,38
233,Lythraceae,38
234,Melastomataceae,38
235,Myrtaceae,38
236,Onagraceae,38
237,Penaeaceae,38
238,Vochysiaceae,38
239,Aphloiaceae,39
240,Crossosomataceae,39
241,Geissolomataceae,39
242,Guamatelaceae,39
243,Stachyuraceae,39
244,Staphyleaceae,39
245,Strasburgeriaceae,39
246,Picramniaceae,40
247,Dipentodontaceae,41
248,Gerrardinaceae,41
249,Petenaeaceae,41
250,Tapisciaceae,41
251,Anacardiaceae,42
252,Biebersteiniaceae,42
253,Burseraceae,42
254,Kirkiaceae,42
255,Meliaceae,42
256,Nitrariaceae,42
257,Rutaceae,42
258,Sapindaceae,42
259,Xanthocerataceae,42
260,Simaroubaceae,42
261,Bixaceae,43
262,Cistaceae,43
263,Cytinaceae,43
264,Dipterocarpaceae,43
265,Malvaceae,43
266,Muntingiaceae,43
267,Neuradaceae,43
268,Sarcolaenaceae,43
269,Sphaerosepalaceae,43
270,Thymelaeaceae,43
271,Akaniaceae,44
272,Bataceae,44
273,Brassicaceae,44
274,Cruciferae,44
275,Capparaceae,44
276,Caricaceae,44
277,Cleomaceae,44
278,Emblingiaceae,44
279,Gyrostemonaceae,44
280,Koeberliniaceae,44
281,Limnanthaceae,44
282,Moringaceae,44
283,Pentadiplandraceae,44
284,Resedaceae,44
285,Borthwickiaceae,44
286,Stixidaceae,44
287,Salvadoraceae,44
288,Setchellanthaceae,44
289,Tovariaceae,44
290,Tropaeolaceae,44
291,Aextoxicaceae,45
292,Berberidopsidaceae,45
293,Balanophoraceae,46
294,Loranthaceae,46
295,Misodendraceae,46
296,Olacaceae,46
297,Opiliaceae,46
298,Santalaceae,46
299,Amphorogynaceae,46
300,Cervantesiaceae,46
301,Comandraceae,46
302,Nanodeaceae,46
303,Schoepfiaceae,46
304,Achatocarpaceae,47
305,Aizoaceae,47
306,Amaranthaceae,47
307,Anacampserotaceae,47
308,Ancistrocladaceae,47
309,Asteropeiaceae,47
310,Barbeuiaceae,47
311,Basellaceae,47
312,Cactaceae,47
313,Caryophyllaceae,47
314,Didiereaceae,47
315,Dioncophyllaceae,47
316,Droseraceae,47
317,Drosophyllaceae,47
318,Frankeniaceae,47
319,Gisekiaceae,47
320,Halophytaceae,47
321,Kewaceae,47
322,Limeaceae,47
323,Lophiocarpaceae,47
324,Macarthuriaceae,47
325,Microteaceae,47
326,Molluginaceae,47
327,Montiaceae,47
328,Nepenthaceae,47
329,Nyctaginaceae,47
330,Physenaceae,47
331,Phytolaccaceae,47
332,Plumbaginaceae,47
333,Polygonaceae,47
