class_id,class
1,Stemona alkaloids
2,Acutumine alkaloids
3,Betalain alkaloids
4,Cephalotaxus alkaloids
5,Hapalindole alkaloids
6,Pyrroloindole alkaloids
7,Phenoxazine alkaloids
8,Saxitoxins
9,Tetrodotoxins
10,Acyclic guanidine alkaloids
11,Bicyclic guanidine alkaloids
12,Monocyclic guanidine alkaloids
13,Cytochalasan alkaloids
14,Capsaicins and Capsaicinoids
15,Isariotin alkaloids
16,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)"
17,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)"
18,Other indole diketopiperazine alkaloids
19,Pyrrocidine tetramate alkaloids
20,Cyclopiazonic acid-tpye tetramate alkaloids
21,Simple tetramate alkaloids
22,Mitomycins
23,Prodigiosins
24,Carbazole alkaloids
25,Ansa peptide alkaloids
26,Indole-Diterpenoid alkaloids (Penitrems)
27,Morphinan alkaloids
28,Pentacyclic guanidine alkaloids
29,Hasubanan alkaloids
30,Ergot alkaloids
31,Carboline alkaloids
32,Iboga type
33,Tropane alkaloids
34,Steroidal alkaloids
35,Acridone alkaloids
36,Corynanthe type
37,Protoberberine alkaloids
38,Quinolizidine alkaloids
39,Phenethylisoquinoline alkaloids
40,Pyrroloquinoline alkaloids
41,Thiazole alkaloids
42,Purine alkaloids
43,Isoquinoline alkaloids
44,Polyamines
45,Strychnos type
46,Phenylalanine-derived alkaloids
47,Miscellaneous alkaloids
48,Terpenoid alkaloids
49,Anthranillic acid derivatives
50,Pyrrolizidine alkaloids
51,Protopine alkaloids
52,Aporphine alkaloids
53,pteridine alkaloids
54,Phenazine alkaloids
55,Phenylethylamines
56,Simple oxindole alkaloids
57,Aspidosperma-Iboga hybrid type (Vinca alkaloids)
58,Isoindole alkaloids
59,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)"
60,Amarylidaceae alkaloids
61,Quinazoline alkaloids
62,Thiodiketopiperazine alkaloids
63,Simple diketopiperazine alkaloids
64,Yohimbine-like alkaloids
65,Pyridine alkaloids
66,Azo and Azoxy alkaloids
67,Piperidine alkaloids
68,Terpenoid tetrahydroisoquinoline alkaloids
69,Homoerythrina alkaloids
70,Quinoline alkaloids
71,Imidazole alkaloids
72,Pyrazine and Piperazine alkaloids
73,Simple amide alkaloids
74,Tetrahydroisoquinoline alkaloids
75,Oxazole alkaloids
76,Pyrrolidine alkaloids
77,Pyrrole alkaloids
78,Indolizidine alkaloids
79,Tricyclic guanidine alkaloids
80,Simple indole alkaloids
81,Acetate-derived alkaloids
82,Rhizoxins
83,Macrolide lactams
84,Lactam bearing macrolide lactones
85,Antimycins
86,Macrocyclic tetramic acids
87,Elfamycins
88,DKXanthenes and derivatives
89,3-Spirotetramic acids
90,Cyclopiazonic acid-type tetramate alkaloids
91,Mycosporine and Mycosporine-like amino acids
92,Aeruginosins
93,Microginins
94,Anabaenopeptins
95,Microcystins
96,Microcolins and mirabimides
97,Tantazoles and mirabazoles
98,Vancomycins and Teicoplanins
99,Streptogramins
100,Actinomycins
101,Penicillins
102,Cephalosporins
103,Cephamycins
104,Clavams
105,Carbapenems
106,Monocyclic β-lactams
107,RiPPs-Amatoxins and Phallotoxins
108,RiPPs-Bottromycins
109,RiPPs-Lasso peptides
110,RiPPs-Microcins
111,Cyclic peptides
