superclass_id,superclass
1,Ornithine alkaloids
2,Tyrosine alkaloids
3,Tryptophan alkaloids
4,Anthranilic acid alkaloids
5,Guanidine alkaloids
6,Pseudoalkaloids
7,Peptide alkaloids
8,Tetramate alkaloids
9,Mitomycin derivatives
10,Proline alkaloids
11,Lysine alkaloids
12,Serine alkaloids
13,Miscellaneous alkaloids
14,Nicotinic acid alkaloids
15,Histidine alkaloids
16,Macrolides
17,Linear polyketides
18,Cyclic polyketides
19,Mycosporine derivatives
20,Oligopeptides
21,β-lactams
22,Amino acid glycosides
23,Phenylpropanoids (C6-C3)
24,Small peptides
25,Polyols
26,Nucleosides
27,Saccharides
28,"Aminosugars and
aminoglycosides"
29,Fatty Acids and Conjugates
30,Octadecanoids
31,Eicosanoids
32,Docosanoids
33,Fatty esters
34,Fatty amides
35,Fatty acyls
36,Fatty acyl glycosides
37,Glycerolipids
38,Glycerophospholipids
39,Sphingolipids
40,Chromanes
41,Alkylresorcinols
42,Aromatic polyketides
43,Meroterpenoids
44,"Polycyclic aromatic
polyketides"
45,Phloroglucinols
46,Naphthalenes
47,Polyethers
48,Tropolones
49,Diphenyl ethers (DPEs)
50,Xanthones
51,Miscellaneous polyketides
52,Phenolic acids (C6-C1)
53,Lignans
54,Coumarins
55,Diarylheptanoids
56,Fluorenes
57,Flavonoids
58,Stilbenoids
59,Isoflavonoids
60,Phenanthrenoids
61,Styrylpyrones
62,Terphenyls
63,Phenylethanoids (C6-C2)
64,"Diazotetronic acids and
derivatives"
65,Diterpenoids
66,Sesquiterpenoids
67,Sesterterpenoids
68,Triterpenoids
69,Steroids
70,Carotenoids (C40)
71,Carotenoids (C45)
72,Carotenoids (C50)
73,Apocarotenoids
74,Polyprenols
75,Monoterpenoids
