pathway,superclass,class
Alkaloids,Ornithine alkaloids,Stemona alkaloids
Alkaloids,Tyrosine alkaloids,Acutumine alkaloids
Alkaloids,Tyrosine alkaloids,Betalain alkaloids
Alkaloids,Tyrosine alkaloids,Cephalotaxus alkaloids
Alkaloids,Tryptophan alkaloids,Hapalindole alkaloids
Alkaloids,Tryptophan alkaloids,Pyrroloindole alkaloids
Alkaloids,Anthranilic acid alkaloids,Phenoxazine alkaloids
Alkaloids,Guanidine alkaloids,Saxitoxins
Alkaloids,Guanidine alkaloids,Tetrodotoxins
Alkaloids,Guanidine alkaloids,Acyclic guanidine alkaloids
Alkaloids,Guanidine alkaloids,Bicyclic guanidine alkaloids
Alkaloids,Guanidine alkaloids,Monocyclic guanidine alkaloids
Alkaloids,Pseudoalkaloids,Cytochalasan alkaloids
Alkaloids,Pseudoalkaloids,Capsaicins and Capsaicinoids
Alkaloids,Pseudoalkaloids,Isariotin alkaloids
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)"
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)"
Alkaloids,Peptide alkaloids,Other indole diketopiperazine alkaloids
Alkaloids,Tetramate alkaloids,Pyrrocidine tetramate alkaloids
Alkaloids,Tetramate alkaloids,Cyclopiazonic acid-tpye tetramate alkaloids
Alkaloids,Tetramate alkaloids,Simple tetramate alkaloids
Alkaloids,Mitomycin derivatives,Mitomycins
Alkaloids,Proline alkaloids,Prodigiosins
Alkaloids,Tryptophan alkaloids,Carbazole alkaloids
Alkaloids,Peptide alkaloids,Ansa peptide alkaloids
Alkaloids,Tryptophan alkaloids,Indole-Diterpenoid alkaloids (Penitrems)
Alkaloids,Tyrosine alkaloids,Morphinan alkaloids
Alkaloids,Guanidine alkaloids,Pentacyclic guanidine alkaloids
Alkaloids,Tyrosine alkaloids,Hasubanan alkaloids
Alkaloids,Tryptophan alkaloids,Ergot alkaloids
Alkaloids,Tryptophan alkaloids,Carboline alkaloids
Alkaloids,Tryptophan alkaloids,Iboga type
Alkaloids,Ornithine alkaloids,Tropane alkaloids
Alkaloids,Pseudoalkaloids,Steroidal alkaloids
Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids
Alkaloids,Tryptophan alkaloids,Corynanthe type
Alkaloids,Tyrosine alkaloids,Protoberberine alkaloids
Alkaloids,Lysine alkaloids,Quinolizidine alkaloids
Alkaloids,Tyrosine alkaloids,Phenethylisoquinoline alkaloids
Alkaloids,Tryptophan alkaloids,Pyrroloquinoline alkaloids
Alkaloids,Serine alkaloids,Thiazole alkaloids
Alkaloids,Pseudoalkaloids,Purine alkaloids
Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids
Alkaloids,Ornithine alkaloids,Polyamines
Alkaloids,Tryptophan alkaloids,Strychnos type
Alkaloids,Pseudoalkaloids,Phenylalanine-derived alkaloids
Alkaloids,Miscellaneous alkaloids,Miscellaneous alkaloids
Alkaloids,Pseudoalkaloids,Terpenoid alkaloids
Alkaloids,Anthranilic acid alkaloids,Anthranillic acid derivatives
Alkaloids,Ornithine alkaloids,Pyrrolizidine alkaloids
Alkaloids,Tyrosine alkaloids,Protopine alkaloids
Alkaloids,Tyrosine alkaloids,Aporphine alkaloids
Alkaloids,Pseudoalkaloids,pteridine alkaloids
Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids
Alkaloids,Tyrosine alkaloids,Phenylethylamines
Alkaloids,Tryptophan alkaloids,Simple oxindole alkaloids
Alkaloids,Tryptophan alkaloids,Aspidosperma-Iboga hybrid type (Vinca alkaloids)
Alkaloids,Pseudoalkaloids,Isoindole alkaloids
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)"
Alkaloids,Tyrosine alkaloids,Amarylidaceae alkaloids
Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids
Alkaloids,Peptide alkaloids,Thiodiketopiperazine alkaloids
Alkaloids,Peptide alkaloids,Simple diketopiperazine alkaloids
Alkaloids,Tryptophan alkaloids,Yohimbine-like alkaloids
Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids
Alkaloids,Pseudoalkaloids,Azo and Azoxy alkaloids
Alkaloids,Lysine alkaloids,Piperidine alkaloids
Alkaloids,Tyrosine alkaloids,Terpenoid tetrahydroisoquinoline alkaloids
Alkaloids,Tyrosine alkaloids,Homoerythrina alkaloids
Alkaloids,Tryptophan alkaloids,Quinoline alkaloids
Alkaloids,Anthranilic acid alkaloids,Quinoline alkaloids
Alkaloids,Histidine alkaloids,Imidazole alkaloids
Alkaloids,Peptide alkaloids,Pyrazine and Piperazine alkaloids
Alkaloids,Tetramate alkaloids,Pyrazine and Piperazine alkaloids
Alkaloids,Peptide alkaloids,Simple amide alkaloids
Alkaloids,Tyrosine alkaloids,Tetrahydroisoquinoline alkaloids
Alkaloids,Tyrosine alkaloids,Oxazole alkaloids
Alkaloids,Ornithine alkaloids,Pyrrolidine alkaloids
Alkaloids,Proline alkaloids,Pyrrole alkaloids
Alkaloids,Lysine alkaloids,Indolizidine alkaloids
Alkaloids,Guanidine alkaloids,Tricyclic guanidine alkaloids
Alkaloids,Tryptophan alkaloids,Simple indole alkaloids
Alkaloids,Pseudoalkaloids,Acetate-derived alkaloids
Amino acids and Peptides,Macrolides,Rhizoxins
Amino acids and Peptides,Macrolides,Macrolide lactams
Amino acids and Peptides,Macrolides,Lactam bearing macrolide lactones
Amino acids and Peptides,Macrolides,Antimycins
Amino acids and Peptides,Macrolides,Macrocyclic tetramic acids
Amino acids and Peptides,Linear polyketides,Elfamycins
Amino acids and Peptides,Linear polyketides,DKXanthenes and derivatives
Amino acids and Peptides,Cyclic polyketides,3-Spirotetramic acids
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)"
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)"
Amino acids and Peptides,Peptide alkaloids,Other indole diketopiperazine alkaloids
