0,1,2,3,4,5,6
Pathway,Superclass,Class,"Precision and Recall of
Class",,,"Populatio
n"
,,,Precision,Recall,"F1
score",
Alkaloids,Ornithine alkaloids,Stemona alkaloids,1.000,1.000,1.000,112
Alkaloids,Tyrosine alkaloids,Acutumine alkaloids,1.000,1.000,1.000,12
Alkaloids,Tyrosine alkaloids,Betalain alkaloids,0.909,0.833,1.000,19
Alkaloids,Tyrosine alkaloids,Cephalotaxus alkaloids,1.000,1.000,1.000,10
Alkaloids,Tryptophan alkaloids,Hapalindole alkaloids,1.000,1.000,1.000,18
Alkaloids,Tryptophan alkaloids,Pyrroloindole alkaloids,1.000,1.000,1.000,66
Alkaloids,Anthranilic acid alkaloids,Phenoxazine alkaloids,1.000,1.000,1.000,26
Alkaloids,Guanidine alkaloids,Saxitoxins,1.000,1.000,1.000,9
Alkaloids,Guanidine alkaloids,Tetrodotoxins,1.000,1.000,1.000,26
Alkaloids,Guanidine alkaloids,Acyclic guanidine alkaloids,1.000,1.000,1.000,4
Alkaloids,Guanidine alkaloids,Bicyclic guanidine alkaloids,1.000,1.000,1.000,17
Alkaloids,Guanidine alkaloids,Monocyclic guanidine alkaloids,1.000,1.000,1.000,6
Alkaloids,Pseudoalkaloids,Cytochalasan alkaloids,1.000,1.000,1.000,125
Alkaloids,Pseudoalkaloids,Capsaicins and Capsaicinoids,0.833,0.714,1.000,17
Alkaloids,Pseudoalkaloids,Isariotin alkaloids,1.000,1.000,1.000,10
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",1.000,1.000,1.000,47
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",1.000,1.000,1.000,13
Alkaloids,Peptide alkaloids,Other indole diketopiperazine alkaloids,0.966,0.933,1.000,43
Alkaloids,Tetramate alkaloids,Pyrrocidine tetramate alkaloids,1.000,1.000,1.000,25
Alkaloids,Tetramate alkaloids,Cyclopiazonic acid-tpye tetramate alkaloids,1.000,1.000,1.000,24
Alkaloids,Tetramate alkaloids,Simple tetramate alkaloids,0.917,0.846,1.000,18
Alkaloids,Mitomycin derivatives,Mitomycins,1.000,1.000,1.000,12
Alkaloids,Proline alkaloids,Prodigiosins,1.000,1.000,1.000,26
Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,0.994,1.000,0.988,406
Alkaloids,Peptide alkaloids,Ansa peptide alkaloids,0.980,1.000,0.960,128
Alkaloids,Tryptophan alkaloids,Indole-Diterpenoid alkaloids (Penitrems),0.971,1.000,0.944,90
Alkaloids,Tyrosine alkaloids,Morphinan alkaloids,0.959,0.986,0.934,408
Alkaloids,Guanidine alkaloids,Pentacyclic guanidine alkaloids,0.966,1.000,0.933,36
Alkaloids,Tyrosine alkaloids,Hasubanan alkaloids,0.929,0.929,0.929,37
Alkaloids,Tryptophan alkaloids,Ergot alkaloids,0.963,1.000,0.929,72
Alkaloids,Tryptophan alkaloids,Carboline alkaloids,0.951,0.978,0.925,734
Alkaloids,Tryptophan alkaloids,Iboga type,0.960,1.000,0.923,135
Alkaloids,Ornithine alkaloids,Tropane alkaloids,0.958,1.000,0.920,292
Alkaloids,Pseudoalkaloids,Steroidal alkaloids,0.948,0.986,0.913,405
Alkaloids,Anthranilic acid alkaloids,Acridone alkaloids,0.954,1.000,0.912,285
Alkaloids,Tryptophan alkaloids,Corynanthe type,0.838,0.775,0.912,177
Alkaloids,Tyrosine alkaloids,Protoberberine alkaloids,0.949,1.000,0.903,170
Alkaloids,Lysine alkaloids,Quinolizidine alkaloids,0.925,0.949,0.902,216
Alkaloids,Tyrosine alkaloids,Phenethylisoquinoline alkaloids,0.947,1.000,0.900,102
Alkaloids,Tryptophan alkaloids,Pyrroloquinoline alkaloids,0.918,0.966,0.875,178
Alkaloids,Serine alkaloids,Thiazole alkaloids,0.933,1.000,0.875,32
Alkaloids,Pseudoalkaloids,Purine alkaloids,0.876,0.886,0.867,235
Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,0.806,0.757,0.862,903
Alkaloids,Ornithine alkaloids,Polyamines,0.918,0.986,0.859,434
Alkaloids,Tryptophan alkaloids,Strychnos type,0.906,0.960,0.857,146
Alkaloids,Pseudoalkaloids,Phenylalanine-derived alkaloids,0.889,0.923,0.857,143
Alkaloids,Miscellaneous alkaloids,Miscellaneous alkaloids,0.923,1.000,0.857,18
Alkaloids,Pseudoalkaloids,Terpenoid alkaloids,0.902,0.965,0.846,335
Alkaloids,Anthranilic acid alkaloids,Anthranillic acid derivatives,0.889,0.941,0.842,43
Alkaloids,Ornithine alkaloids,Pyrrolizidine alkaloids,0.897,0.972,0.833,218
Alkaloids,Tyrosine alkaloids,Protopine alkaloids,0.909,1.000,0.833,28
Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,0.907,1.000,0.830,237
Alkaloids,Pseudoalkaloids,pteridine alkaloids,0.905,1.000,0.826,115
Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,0.903,1.000,0.824,86
Alkaloids,Tyrosine alkaloids,Phenylethylamines,0.901,1.000,0.821,215
Alkaloids,Tryptophan alkaloids,Simple oxindole alkaloids,0.889,1.000,0.800,21
Alkaloids,Tryptophan alkaloids,Aspidosperma-Iboga hybrid type (Vinca alkaloids),0.667,0.571,0.800,56
Alkaloids,Pseudoalkaloids,Isoindole alkaloids,0.889,1.000,0.800,72
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",0.880,1.000,0.786,39
Alkaloids,Tyrosine alkaloids,Amarylidaceae alkaloids,0.833,0.889,0.784,253
Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,0.839,0.929,0.765,88
Alkaloids,Peptide alkaloids,Thiodiketopiperazine alkaloids,0.839,0.929,0.765,87
Alkaloids,Peptide alkaloids,Simple diketopiperazine alkaloids,0.857,1.000,0.750,28
Alkaloids,Tryptophan alkaloids,Yohimbine-like alkaloids,0.842,1.000,0.727,63
Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,0.802,0.901,0.722,623
Alkaloids,Pseudoalkaloids,Azo and Azoxy alkaloids,0.818,1.000,0.692,71
Alkaloids,Lysine alkaloids,Piperidine alkaloids,0.771,0.914,0.667,259
Alkaloids,Tyrosine alkaloids,Terpenoid tetrahydroisoquinoline alkaloids,0.800,1.000,0.667,57
Alkaloids,Tyrosine alkaloids,Homoerythrina alkaloids,0.667,0.667,0.667,10
Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,0.791,1.000,0.654,132
Alkaloids,Anthranilic acid alkaloids,Quinoline alkaloids,0.791,1.000,0.654,132
Alkaloids,Histidine alkaloids,Imidazole alkaloids,0.744,0.879,0.644,236
Alkaloids,Peptide alkaloids,Pyrazine and Piperazine alkaloids,0.682,0.938,0.536,142
Alkaloids,Tetramate alkaloids,Pyrazine and Piperazine alkaloids,0.682,0.938,0.536,142
Alkaloids,Peptide alkaloids,Simple amide alkaloids,0.667,0.920,0.523,199
Alkaloids,Tyrosine alkaloids,Tetrahydroisoquinoline alkaloids,0.683,1.000,0.519,156
Alkaloids,Tyrosine alkaloids,Oxazole alkaloids,0.667,1.000,0.500,10
Alkaloids,Ornithine alkaloids,Pyrrolidine alkaloids,0.636,0.933,0.483,150
Alkaloids,Proline alkaloids,Pyrrole alkaloids,0.632,1.000,0.462,66
Alkaloids,Lysine alkaloids,Indolizidine alkaloids,0.615,0.941,0.457,187
Alkaloids,Guanidine alkaloids,Tricyclic guanidine alkaloids,0.545,1.000,0.375,27
Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,0.526,1.000,0.357,144
Alkaloids,Pseudoalkaloids,Acetate-derived alkaloids,0.400,0.500,0.333,19
Amino acids and Peptides,Macrolides,Rhizoxins,1.000,1.000,1.000,8
Amino acids and Peptides,Macrolides,Macrolide lactams,1.000,1.000,1.000,35
Amino acids and Peptides,Macrolides,Lactam bearing macrolide lactones,0.976,0.952,1.000,24
Amino acids and Peptides,Macrolides,Antimycins,1.000,1.000,1.000,48
Amino acids and Peptides,Macrolides,Macrocyclic tetramic acids,1.000,1.000,1.000,46
Amino acids and Peptides,Linear polyketides,Elfamycins,1.000,1.000,1.000,10
Amino acids and Peptides,Linear polyketides,DKXanthenes and derivatives,1.000,1.000,1.000,13
Amino acids and Peptides,Cyclic polyketides,3-Spirotetramic acids,1.000,1.000,1.000,22
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",1.000,1.000,1.000,47
