Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,CodingNote,Parent,Version:2026 Jan 17 - 05:30 UTC
http://id.who.int/icd/entity/1516623224,http://id.who.int/icd/release/11/mms/1516623224,,BlockL1-6A0,- Neurodevelopmental disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/821852937,http://id.who.int/icd/release/11/mms/821852937,6A05,,- - Attention deficit hyperactivity disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/1111628448,http://id.who.int/icd/release/11/mms/1111628448,6A06,,- - Stereotyped movement disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
,http://id.who.int/icd/release/11/mms/1516623224/other,6A0Y,,- - Other specified neurodevelopmental disorders,category,1.0,True,6.0,,True,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
,http://id.who.int/icd/release/11/mms/1516623224/unspecified,6A0Z,,"- - Neurodevelopmental disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/405565289,http://id.who.int/icd/release/11/mms/405565289,,BlockL1-6A2,- Schizophrenia or other primary psychotic disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
,http://id.who.int/icd/release/11/mms/405565289/unspecified,6A2Z,,"- - Schizophrenia or other primary psychotic disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A2,,,,,,http://id.who.int/icd/entity/405565289,
http://id.who.int/icd/entity/486722075,http://id.who.int/icd/release/11/mms/486722075,,BlockL1-6A4,- Catatonia,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/556568822,http://id.who.int/icd/release/11/mms/556568822,6A40,,- - Catatonia associated with another mental disorder,category,1.0,False,6.0,,True,True,BlockL1-6A4,,,,,,http://id.who.int/icd/entity/486722075,
http://id.who.int/icd/entity/289492002,http://id.who.int/icd/release/11/mms/289492002,6A41,,- - Catatonia induced by substances or medications,category,1.0,False,6.0,,True,True,BlockL1-6A4,,,,,,http://id.who.int/icd/entity/486722075,
,http://id.who.int/icd/release/11/mms/486722075/unspecified,6A4Z,,"- - Catatonia, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A4,,,,,,http://id.who.int/icd/entity/486722075,
http://id.who.int/icd/entity/1563440232,http://id.who.int/icd/release/11/mms/1563440232,,BlockL2-6A7,- - Depressive disorders,block,2.0,False,6.0,,False,,BlockL1-6A6,,,,,,http://id.who.int/icd/entity/76398729,
http://id.who.int/icd/entity/578635574,http://id.who.int/icd/release/11/mms/578635574,6A70,,- - - Single episode depressive disorder,category,1.0,False,6.0,,False,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
http://id.who.int/icd/entity/1194756772,http://id.who.int/icd/release/11/mms/1194756772,6A71,,- - - Recurrent depressive disorder,category,1.0,False,6.0,,False,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
,http://id.who.int/icd/release/11/mms/1563440232/other,6A7Y,,- - - Other specified depressive disorders,category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
,http://id.who.int/icd/release/11/mms/1563440232/unspecified,6A7Z,,"- - - Depressive disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A6,BlockL2-6A7,,,,,http://id.who.int/icd/entity/1563440232,
