Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,CodingNote,Parent,Version:2026 Jan 17 - 05:30 UTC
http://id.who.int/icd/entity/1516623224,http://id.who.int/icd/release/11/mms/1516623224,,BlockL1-6A0,- Neurodevelopmental disorders,block,1.0,False,6.0,,False,,,,,,,,http://id.who.int/icd/entity/334423054,
http://id.who.int/icd/entity/605267007,http://id.who.int/icd/release/11/mms/605267007,6A00,,- - Disorders of intellectual development,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,"Use additional code, if desired, to identify any known aetiology.",http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/33269655,http://id.who.int/icd/release/11/mms/33269655,6A01,,- - Developmental speech or language disorders,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/437815624,http://id.who.int/icd/release/11/mms/437815624,6A02,,- - Autism spectrum disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/2099676649,http://id.who.int/icd/release/11/mms/2099676649,6A03,,- - Developmental learning disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/148247104,http://id.who.int/icd/release/11/mms/148247104,6A04,,- - Developmental motor coordination disorder,category,1.0,False,6.0,,True,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/821852937,http://id.who.int/icd/release/11/mms/821852937,6A05,,- - Attention deficit hyperactivity disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
http://id.who.int/icd/entity/1111628448,http://id.who.int/icd/release/11/mms/1111628448,6A06,,- - Stereotyped movement disorder,category,1.0,False,6.0,,False,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
,http://id.who.int/icd/release/11/mms/1516623224/other,6A0Y,,- - Other specified neurodevelopmental disorders,category,1.0,True,6.0,,True,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
,http://id.who.int/icd/release/11/mms/1516623224/unspecified,6A0Z,,"- - Neurodevelopmental disorders, unspecified",category,1.0,True,6.0,,True,True,BlockL1-6A0,,,,,,http://id.who.int/icd/entity/1516623224,
