Code,Title,Path
6A00,- - Disorders of intellectual development,/- Neurodevelopmental disorders
6A01,- - Developmental speech or language disorders,/- Neurodevelopmental disorders
6A02,- - Autism spectrum disorder,/- Neurodevelopmental disorders
6A03,- - Developmental learning disorder,/- Neurodevelopmental disorders
6A04,- - Developmental motor coordination disorder,/- Neurodevelopmental disorders
6A05,- - Attention deficit hyperactivity disorder,/- Neurodevelopmental disorders
6A06,- - Stereotyped movement disorder,/- Neurodevelopmental disorders
6A0Y,- - Other specified neurodevelopmental disorders,/- Neurodevelopmental disorders
6A0Z,"- - Neurodevelopmental disorders, unspecified",/- Neurodevelopmental disorders
6A20,- - Schizophrenia,/- Schizophrenia or other primary psychotic disorders
6A21,- - Schizoaffective disorder,/- Schizophrenia or other primary psychotic disorders
6A22,- - Schizotypal disorder,/- Schizophrenia or other primary psychotic disorders
6A23,- - Acute and transient psychotic disorder,/- Schizophrenia or other primary psychotic disorders
6A24,- - Delusional disorder,/- Schizophrenia or other primary psychotic disorders
6A25,- - Symptomatic manifestations of primary psychotic disorders,/- Schizophrenia or other primary psychotic disorders
6A2Y,- - Other specified primary psychotic disorder,/- Schizophrenia or other primary psychotic disorders
6A2Z,"- - Schizophrenia or other primary psychotic disorders, unspecified",/- Schizophrenia or other primary psychotic disorders
6A40,- - Catatonia associated with another mental disorder,/- Catatonia
6A41,- - Catatonia induced by substances or medications,/- Catatonia
6A4Z,"- - Catatonia, unspecified",/- Catatonia
6A60,- - - Bipolar type I disorder,/- Mood disorders/- - Bipolar or related disorders
6A61,- - - Bipolar type II disorder,/- Mood disorders/- - Bipolar or related disorders
6A62,- - - Cyclothymic disorder,/- Mood disorders/- - Bipolar or related disorders
6A6Y,- - - Other specified bipolar or related disorders,/- Mood disorders/- - Bipolar or related disorders
6A6Z,"- - - Bipolar or related disorders, unspecified",/- Mood disorders/- - Bipolar or related disorders
6A70,- - - Single episode depressive disorder,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A71,- - - Recurrent depressive disorder,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A72,- - - Dysthymic disorder,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A73,- - - Mixed depressive and anxiety disorder,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A7Y,- - - Other specified depressive disorders,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A7Z,"- - - Depressive disorders, unspecified",/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A80,- - Symptomatic and course presentations for mood episodes in mood disorders,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A8Y,- - Other specified mood disorders,/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6A8Z,"- - Mood disorders, unspecified",/- Mood disorders/- - Bipolar or related disorders/- - Depressive disorders
6B00,- - Generalised anxiety disorder,/- Anxiety or fear-related disorders
6B01,- - Panic disorder,/- Anxiety or fear-related disorders
6B02,- - Agoraphobia,/- Anxiety or fear-related disorders
6B03,- - Specific phobia,/- Anxiety or fear-related disorders
6B04,- - Social anxiety disorder,/- Anxiety or fear-related disorders
6B05,- - Separation anxiety disorder,/- Anxiety or fear-related disorders
6B06,- - Selective mutism,/- Anxiety or fear-related disorders
6B0Y,- - Other specified anxiety or fear-related disorders,/- Anxiety or fear-related disorders
6B0Z,"- - Anxiety or fear-related disorders, unspecified",/- Anxiety or fear-related disorders
6B20,- - Obsessive-compulsive disorder,/- Obsessive-compulsive or related disorders
6B21,- - Body dysmorphic disorder,/- Obsessive-compulsive or related disorders
6B22,- - Olfactory reference disorder,/- Obsessive-compulsive or related disorders
6B23,- - Hypochondriasis,/- Obsessive-compulsive or related disorders
6B24,- - Hoarding disorder,/- Obsessive-compulsive or related disorders
6B25,- - Body-focused repetitive behaviour disorders,/- Obsessive-compulsive or related disorders
6B2Y,- - Other specified obsessive-compulsive or related disorders,/- Obsessive-compulsive or related disorders
6B2Z,"- - Obsessive-compulsive or related disorders, unspecified",/- Obsessive-compulsive or related disorders
6B40,- - Post traumatic stress disorder,/- Disorders specifically associated with stress
6B41,- - Complex post traumatic stress disorder,/- Disorders specifically associated with stress
6B42,- - Prolonged grief disorder,/- Disorders specifically associated with stress
6B43,- - Adjustment disorder,/- Disorders specifically associated with stress
6B44,- - Reactive attachment disorder,/- Disorders specifically associated with stress
6B45,- - Disinhibited social engagement disorder,/- Disorders specifically associated with stress
6B4Y,- - Other specified disorders specifically associated with stress,/- Disorders specifically associated with stress
6B4Z,"- - Disorders specifically associated with stress, unspecified",/- Disorders specifically associated with stress
6B60,- - Dissociative neurological symptom disorder,/- Dissociative disorders
6B61,- - Dissociative amnesia,/- Dissociative disorders
6B62,- - Trance disorder,/- Dissociative disorders
6B63,- - Possession trance disorder,/- Dissociative disorders
6B64,- - Dissociative identity disorder,/- Dissociative disorders
6B65,- - Partial dissociative identity disorder,/- Dissociative disorders
6B66,- - Depersonalization-derealization disorder,/- Dissociative disorders
6B6Y,- - Other specified dissociative disorders,/- Dissociative disorders
6B6Z,"- - Dissociative disorders, unspecified",/- Dissociative disorders
6B80,- - Anorexia Nervosa,/- Feeding or eating disorders
6B81,- - Bulimia Nervosa,/- Feeding or eating disorders
6B82,- - Binge eating disorder,/- Feeding or eating disorders
6B83,- - Avoidant-restrictive food intake disorder,/- Feeding or eating disorders
6B84,- - Pica,/- Feeding or eating disorders
6B85,- - Rumination-regurgitation disorder,/- Feeding or eating disorders
6B8Y,- - Other specified feeding or eating disorders,/- Feeding or eating disorders
6B8Z,"- - Feeding or eating disorders, unspecified",/- Feeding or eating disorders
6C00,- - Enuresis,/- Elimination disorders
6C01,- - Encopresis,/- Elimination disorders
6C0Z,"- - Elimination disorders, unspecified",/- Elimination disorders
6C20,- - Bodily distress disorder,/- Disorders of bodily distress or bodily experience
6C21,- - Body integrity dysphoria,/- Disorders of bodily distress or bodily experience
6C2Y,- - Other specified disorders of bodily distress or bodily experience,/- Disorders of bodily distress or bodily experience
6C2Z,"- - Disorders of bodily distress or bodily experience, unspecified",/- Disorders of bodily distress or bodily experience
6C40,- - - Disorders due to use of alcohol,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C41,- - - Disorders due to use of cannabis,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C42,- - - Disorders due to use of synthetic cannabinoids,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C43,- - - Disorders due to use of opioids,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C44,"- - - Disorders due to use of sedatives, hypnotics or anxiolytics",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C45,- - - Disorders due to use of cocaine,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C46,"- - - Disorders due to use of stimulants including amphetamines, methamphetamine or methcathinone",/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
6C47,- - - Disorders due to use of synthetic cathinones,/- Disorders due to substance use or addictive behaviours/- - Disorders due to substance use
