wand_id,genus,species,gbif_usagekey,family_id
p1,Acacia,karroo,3974754.0,193
p2,Acacia,mearnsii,2979775.0,193
p3,Acacia,nigrescens,3795961.0,193
p4,Acacia,nilotica,3974744.0,193
p5,Acokanthera,oppositifolia,3619546.0,376
p6,Agapanthus,africanus,2854740.0,63
p7,Albuca,fastigiata,2772375.0,64
p8,Alepidea,ametymbica,3633432.0,439
p9,Aloe,castanea,8355770.0,65
p10,Aloe,claviflora,2777226.0,65
p11,Aloe,ferox,2777789.0,65
p12,Aloe,marlothii,2778219.0,65
p13,Aloe,peglerae,7920572.0,65
p14,Annona,senegalensis,5407251.0,15
p15,Antizoma,angustifolia,3830390.0,116
p16,Apodytes,dimidiata,3597463.0,373
p17,Arctotis,arctotoides,7764662.0,423
p18,Artemisia,afra,8078031.0,423
p19,Aspalathus,linearis,5348220.0,193
p20,Athrixia,phyllicoides,3087104.0,423
p21,Ballota,africana,5428512.0,396
p22,Bolusanthus,speciosus,2952355.0,193
p23,Boophane,disticha,2854664.0,63
p24,Boophane,flava,2853222.0,63
p25,Boscia,albitrunca,5602556.0,275
p26,Brunsvigia,josephinæ,4013911.0,63
p27,Brunsvigia,radulosa,2853422.0,63
p28,Buddleja,saligna,3173331.0,411
p29,Buddleja,salviifolia,4055797.0,411
p30,Buxus,natalensis,3988045.0,124
p31,Callistemon,citrinus,3173413.0,235
p32,Calpurnia,aurea,2956417.0,193
p33,Cedrelopsis,microfoliata,3990256.0,257
p34,Centratherum,punctatum,3090864.0,423
p35,Ceratonia,siliqua,5356354.0,193
p36,Cissampelos,capensis,7514615.0,116
p37,Coleonema,album,5594432.0,257
p38,Combretum,apiculatum,3698502.0,231
p39,Combretum,caffrum,3699709.0,231
p40,Conium,speceis,3034806.0,439
p41,Crinum,bulbispermum,2853668.0,63
p42,Crinum,macowanii,2853929.0,63
p43,Crinum,moorei,4928395.0,63
p44,Crotalaria,agatiflora,2942820.0,193
p45,Crotalaria,globifera,2942923.0,193
p46,Croton,dichogamus,3059533.0,166
p47,Croton,gratissimus,3058727.0,166
p48,Croton,megalobotrys,3060022.0,166
p49,Croton,menyharthii,3059559.0,166
p50,Croton,pseudopulchellus,3058146.0,166
p51,Croton,steenkampianus,3058591.0,166
p52,Curtisia,dentata,8057620.0,343
p53,Cussonia,paniculata,3035211.0,441
p54,Cyrtanthus,elatus,5325993.0,63
p55,Cyrtanthus,falcatus,5326032.0,63
p56,Cyrtanthus,obliquus,5326072.0,63
p57,Datura,stramonium,2928751.0,388
p58,Dichilus,gracilis,5359923.0,193
p59,Dicoma,tomentosa,3103375.0,423
p60,Diospyros,lycioides,4070128.0,354
p61,Distephanus,angulifolius,5400049.0,423
p62,Dodonaea,angustifolia,5577690.0,258
p63,Drimia,altissima,8295156.0,64
p64,Drimia,delagoensis,2776829.0,64
p65,Drimia,depressa,2773832.0,64
