genus,species,family,kingdom
Acacia,karroo,Fabaceae,Plantae
Acacia,mearnsii,Fabaceae,Plantae
Acacia,nigrescens,Fabaceae,Plantae
Acacia,nilotica,Fabaceae,Plantae
Acokanthera,oppositifolia,Apocynaceae,Plantae
Agapanthus,africanus,Amaryllidaceae,Plantae
Albuca,fastigiata,Asparagaceae,Plantae
Alepidea,ametymbica,Apiaceae,Plantae
Aloe,castanea,Asphodelaceae,Plantae
Aloe,claviflora,Asphodelaceae,Plantae
Aloe,ferox,Asphodelaceae,Plantae
Aloe,marlothii,Asphodelaceae,Plantae
Aloe,peglerae,Asphodelaceae,Plantae
Annona,senegalensis,Annonaceae,Plantae
Antizoma,angustifolia,Menispermaceae,Plantae
Apodytes,dimidiata,Metteniusaceae,Plantae
Arctotis,arctotoides,Asteraceae,Plantae
Artemisia,afra,Asteraceae,Plantae
Aspalathus,linearis,Fabaceae,Plantae
Athrixia,phyllicoides,Asteraceae,Plantae
Ballota,africana,Lamiaceae,Plantae
Bolusanthus,speciosus,Fabaceae,Plantae
Boophane,disticha,Amaryllidaceae,Plantae
Boophane,flava,Amaryllidaceae,Plantae
Boophone,disticha,Amaryllidaceae,Plantae
Boscia,albitrunca,Capparaceae,Plantae
Brunsvigia,josephinæ,Amaryllidaceae,Plantae
Brunsvigia,radulosa,Amaryllidaceae,Plantae
Buddleja,saligna,Scrophulariaceae,Plantae
Buddleja,salviifolia,Scrophulariaceae,Plantae
Buxus,natalensis,Buxaceae,Plantae
Callistemon,citrinus,Myrtaceae,Plantae
Calpurnia,aurea,Fabaceae,Plantae
Cedrelopsis,microfoliata,Rutaceae,Plantae
Centratherum,punctatum,Asteraceae,Plantae
Ceratonia,siliqua,Fabaceae,Plantae
Cissampelos,capensis,Menispermaceae,Plantae
Coleonema,album,Rutaceae,Plantae
Combretum,apiculatum,Combretaceae,Plantae
Combretum,caffrum,Combretaceae,Plantae
Conium,speceis,Apiaceae,Plantae
Crinum,bulbispermum,Amaryllidaceae,Plantae
Crinum,macowanii,Amaryllidaceae,Plantae
Crinum,moorei,Amaryllidaceae,Plantae
Crotalaria,agatiflora,Fabaceae,Plantae
Crotalaria,globifera,Fabaceae,Plantae
Croton,dichogamus pax,Euphorbiaceae,Plantae
Croton,gratissimus,Euphorbiaceae,Plantae
Croton,megalobotrys,Euphorbiaceae,Plantae
Croton,menyharthii,Euphorbiaceae,Plantae
Croton,pseudopulchellus,Euphorbiaceae,Plantae
Croton,steenkampianus,Euphorbiaceae,Plantae
Curtisia,dentata (cornaceae),Curtisiaceae,Plantae
Cussonia,paniculata,Araliaceae,Plantae
Cyrtanthus,elatus,Amaryllidaceae,Plantae
Cyrtanthus,falcatus,Amaryllidaceae,Plantae
Cyrtanthus,obliquus,Amaryllidaceae,Plantae
Datura,stramonium,Solanaceae,Plantae
Dichilus,gracilis,Fabaceae,Plantae
Dicoma,tomentosa,Asteraceae,Plantae
Diospyros,lycioides,Ebenaceae,Plantae
Distephanus,angulifolius,Asteraceae,Plantae
Dodonaea,angustifolia,Sapindaceae,Plantae
Drimia,altissima,Asparagaceae,Plantae
Drimia,delagoensis,Asparagaceae,Plantae
Drimia,depressa,Asparagaceae,Plantae
Drimia,macrocentra,Asparagaceae,Plantae
Drimia,robusta,Asparagaceae,Plantae
Drimiopsis,burkei,Asparagaceae,Plantae
Drimiopsis,maculata,Asparagaceae,Plantae
Ecklonia,maxima,Cyperaceae,Plantae
Elaeodendron,croceum,Celastraceae,Plantae
Elephantorrhiza,elephantina,Fabaceae,Plantae
Eleutherine,americana,Iridaceae,Plantae
Elytropappus,rhinocerotis,Asteraceae,Plantae
Eriocephalus,punctulatus,Asteraceae,Plantae
Eriosema,kraussianum,Fabaceae,Plantae
Erythrina,caffra,Fabaceae,Plantae
Erythrophleum,lasianthum,Fabaceae,Plantae
Euclea,natalensis,Ebenaceae,Plantae
Eucomis,autumnalis,Asparagaceae,Plantae
Eucomis,bicolor,Asparagaceae,Plantae
Eucomis,comosa,Asparagaceae,Plantae
Eucomis,humilis,Asparagaceae,Plantae
Eucomis,montana,Asparagaceae,Plantae
Eucomis,pallidiflora,Asparagaceae,Plantae
Eucomis,punctata,Asparagaceae,Plantae
Eucomis,schiffii,Asparagaceae,Plantae
Euphorbia,bothae,Euphorbiaceae,Plantae
Euryops,floribundus,Asteraceae,Plantae
Ficus,glumosa,Moraceae,Plantae
Ficus,sansibarica,Moraceae,Plantae
Foeniculum,vulgare,Apiaceae,Plantae
Galenia,africana,Aizoaceae,Plantae
Galtonia,candicans,Asparagaceae,Plantae
Garcinia,livingstonei,Clusiaceae,Plantae
Geigeria,aspera,Asteraceae,Plantae
Gethyllis,ciliaris,Amaryllidaceae,Plantae
Greyia,flanaganii,Francoaceae,Plantae
Gunnera,perpensa,Gunneraceae,Plantae
Halleria,lucida,Stilbaceae,Plantae
Harpagophytum,procumbens,Pedaliaceae,Plantae
Helichrysum,asperum,Asteraceae,Plantae
Helichrysum,cymosum,Asteraceae,Plantae
Helichrysum,kraussii,Asteraceae,Plantae
Helichrysum,melanacme,Asteraceae,Plantae
Helichrysum,niveum,Asteraceae,Plantae
Helichrysum,splendidum,Asteraceae,Plantae
Helichrysum,teretifolium,Asteraceae,Plantae
Helichrysum,umbraculigerum,Asteraceae,Plantae
Hoodia,gordonii,Apocynaceae,Plantae
Hyaenanche,globosa,Picrodendraceae,Plantae
Hypoxis,colchicifolia,Hypoxidaceae,Plantae
Irvingia,gabonensis,Irvingiaceae,Plantae
Kigelia,africana,Bignoniaceae,Plantae
Lachenalia,rubida,Asparagaceae,Plantae
Laurus,nobilis,Lauraceae,Plantae
Lawsonia,inermis,Lythraceae,Plantae
Ledebouria,ovatifolia,Asparagaceae,Plantae
Ledebouria,socialis,Asparagaceae,Plantae
Leonotis,leonurus,Lamiaceae,Plantae
Leonotis,ocymifolia,Lamiaceae,Plantae
Leucosidea,sericea,Rosaceae,Plantae
Leucosidea,sericea (rosaceae),Rosaceae,Plantae
Lippia,javanica,Verbenaceae,Plantae
Lippia,rehmannii,Verbenaceae,Plantae
Lippia,scaberrima,Verbenaceae,Plantae
Massonia,bifolia,Asparagaceae,Plantae
Massonia,pustulata,Asparagaceae,Plantae
Maytenus,procumbens,Celastraceae,Plantae
Melianthus,major,Melianthaceae,Plantae
Merwilla,plumbea,Asparagaceae,Plantae
Mimusops,obtusifolia,Sapotaceae,Plantae
Myristica,fragrans,Myristicaceae,Plantae
Myrothamnus,flabellifolia,Myrothamnaceae,Plantae
Myrsine,africana,Primulaceae,Plantae
Nerine,filifolia,Amaryllidaceae,Plantae
Nerine,sarniensis,Amaryllidaceae,Plantae
Ocimum,labiatum,Lamiaceae,Plantae
Olax,dissitiflora,Olacaceae,Plantae
Olea,africana,Oleaceae,Plantae
Olea,capensis,Oleaceae,Plantae
Olea,europaea,Oleaceae,Plantae
Olea,europaea subs africana,Oleaceae,Plantae
Oncosiphon,piluliferum,Asteraceae,Plantae
Ormocarpum,trichocarpum,Fabaceae,Plantae
Ornithogalum,saundersiae,Asparagaceae,Plantae
Ornithogalum,thyrsoides,Asparagaceae,Plantae
Orthosiphon,labiatus,Lamiaceae,Plantae
Osyris,lanceolata,Santalaceae,Plantae
Oxyanthus,speciosus,Rubiaceae,Plantae
Parinari,capensis,Chrysobalanaceae,Plantae
