plant_id,genus,species,gbif_key,synonyms,family_id
19941,Vachellia,karroo,3974754.0,Acacia karroo,193
19942,Acacia,mearnsii,2979775.0,Acacia mearnsii,193
19943,Senegalia,nigrescens,3795961.0,Acacia nigrescens,193
19944,Vachellia,nilotica,3974744.0,Acacia nilotica,193
19945,Acokanthera,oppositifolia,3619546.0,Acokanthera oppositifolia,376
19946,Agapanthus,africanus,2854740.0,Agapanthus africanus,63
19947,Albuca,fastigiata,2772375.0,Albuca fastigiata,64
19948,Alepidea,amatymbica,3633432.0,Alepidea ametymbica,439
19949,Aloe,castanea,8355770.0,Aloe castanea,65
19950,Aloe,claviflora,2777226.0,Aloe claviflora,65
19951,Aloe,ferox,2777789.0,Aloe ferox,65
19952,Aloe,marlothii,2778219.0,Aloe marlothii,65
19953,Aloe,peglerae,7920572.0,Aloe peglerae,65
19954,Annona,senegalensis,5407251.0,Annona senegalensis,15
19955,Antizoma,angustifolia,3830390.0,Antizoma angustifolia,116
19956,Apodytes,dimidiata,3597463.0,Apodytes dimidiata,373
19957,Arctotis,arctotoides,7764662.0,Arctotis arctotoides,423
19958,Artemisia,afra,8078031.0,Artemisia afra,423
19959,Aspalathus,linearis,5348220.0,Aspalathus linearis,193
19960,Athrixia,phylicoides,3087104.0,Athrixia phyllicoides,423
19961,Bolusanthus,speciosus,2952355.0,Bolusanthus speciosus,193
19962,Boophone,disticha,2854664.0,Boophane disticha,63
19963,Crossyne,flava,2853222.0,Boophane flava,63
19964,Boscia,albitrunca,5602556.0,Boscia albitrunca,275
19965,Brunsvigia,josephinae,4013911.0,Brunsvigia josephinæ,63
19966,Brunsvigia,radulosa,2853422.0,Brunsvigia radulosa,63
19967,Buddleja,saligna,3173331.0,Buddleja saligna,411
19968,Buddleja,salviifolia,4055797.0,Buddleja salviifolia,411
19969,Buxus,natalensis,3988045.0,Buxus natalensis,124
19970,Callistemon,citrinus,3173413.0,Callistemon citrinus,235
19971,Calpurnia,aurea,2956417.0,Calpurnia aurea,193
19972,Cedrelopsis,microfoliolata,3990256.0,Cedrelopsis microfoliata,257
19973,Centratherum,punctatum,3090864.0,Centratherum punctatum,423
19974,Ceratonia,siliqua,5356354.0,Ceratonia siliqua,193
19975,Cissampelos,capensis,7514615.0,Cissampelos capensis,116
19976,Coleonema,album,5594432.0,Coleonema album,257
19977,Combretum,apiculatum,3698502.0,Combretum apiculatum,231
19978,Combretum,caffrum,3699709.0,Combretum caffrum,231
19979,Crinum,bulbispermum,2853668.0,Crinum bulbispermum,63
19980,Crinum,macowanii,2853929.0,Crinum macowanii,63
19981,Crinum,moorei,4928395.0,Crinum moorei,63
19982,Crotalaria,agatiflora,2942820.0,Crotalaria agatiflora,193
19983,Crotalaria,globifera,2942923.0,Crotalaria globifera,193
19984,Croton,dichogamus,3059533.0,Croton dichogamus,166
19985,Croton,gratissimus,3058727.0,Croton gratissimus,166
19986,Croton,megalobotrys,3060022.0,Croton megalobotrys,166
19987,Croton,menyharthii,3059559.0,Croton menyharthii,166
