genus,species,family,kingdom,usageKey,acceptedUsageKey,acceptedScientificName
Vachellia,Vachellia karroo,Fabaceae,Plantae,2979128,3974754.0,Acacia karroo
Acacia,Acacia mearnsii,Fabaceae,Plantae,2979775,,Acacia mearnsii
Senegalia,Senegalia nigrescens,Fabaceae,Plantae,2979282,3795961.0,Acacia nigrescens
Vachellia,Vachellia nilotica,Fabaceae,Plantae,2978421,3974744.0,Acacia nilotica
Acokanthera,Acokanthera oppositifolia,Apocynaceae,Plantae,3619546,,Acokanthera oppositifolia
Agapanthus,Agapanthus africanus,Amaryllidaceae,Plantae,2854740,,Agapanthus africanus
Albuca,Albuca fastigiata,Asparagaceae,Plantae,2772375,,Albuca fastigiata
Alepidea,Alepidea amatymbica,Apiaceae,Plantae,3633432,,Alepidea ametymbica
Aloe,Aloe castanea,Asphodelaceae,Plantae,8355770,,Aloe castanea
Aloe,Aloe claviflora,Asphodelaceae,Plantae,2777226,,Aloe claviflora
Aloe,Aloe ferox,Asphodelaceae,Plantae,2777789,,Aloe ferox
Aloe,Aloe marlothii,Asphodelaceae,Plantae,2778219,,Aloe marlothii
Aloe,Aloe peglerae,Asphodelaceae,Plantae,7920572,,Aloe peglerae
Annona,Annona senegalensis,Annonaceae,Plantae,5407251,,Annona senegalensis
Antizoma,Antizoma angustifolia,Menispermaceae,Plantae,3830390,,Antizoma angustifolia
Apodytes,Apodytes dimidiata,Metteniusaceae,Plantae,3597463,,Apodytes dimidiata
Arctotis,Arctotis arctotoides,Asteraceae,Plantae,7764662,,Arctotis arctotoides
Artemisia,Artemisia afra,Asteraceae,Plantae,8078031,,Artemisia afra
Aspalathus,Aspalathus linearis,Fabaceae,Plantae,5348220,,Aspalathus linearis
Athrixia,Athrixia phylicoides,Asteraceae,Plantae,3087104,,Athrixia phyllicoides
Pseudodictamnus,,Lamiaceae,Plantae,5428512,,Ballota africana
Bolusanthus,Bolusanthus speciosus,Fabaceae,Plantae,2952355,,Bolusanthus speciosus
Boophone,Boophone disticha,Amaryllidaceae,Plantae,2854664,,Boophane disticha
Crossyne,Crossyne flava,Amaryllidaceae,Plantae,4013943,2853222.0,Boophane flava
Boscia,Boscia albitrunca,Capparaceae,Plantae,5602556,,Boscia albitrunca
Brunsvigia,Brunsvigia josephinae,Amaryllidaceae,Plantae,4013911,,Brunsvigia josephinæ
