genus,species,family
Acacia,karroo,Fabaceae
Acacia,mearnsii,Fabaceae
Acacia,nigrescens,Fabaceae
Acacia,nilotica,Fabaceae
Acokanthera,oppositifolia,Apocynaceae
Agapanthus,africanus,Amaryllidaceae
Albuca,fastigiata,Asparagaceae
Alcyonium,fauri,Alcyoniidae
Alcyonium,species A (unspecified),NA
Alcyonium,species B (unspecified),NA
Alcyonium,valdivae,Parasphaerascleridae
Alepidea,ametymbica,Apiaceae
Aloe,castanea,Asphodelaceae
Aloe,claviflora,Asphodelaceae
Aloe,ferox,Asphodelaceae
Aloe,marlothii,Asphodelaceae
Aloe,peglerae,Asphodelaceae
Annona,senegalensis,Annonaceae
Antizoma,angustifolia,Menispermaceae
Aplysia,dactylomela,Aplysiidae
Aplysia,parvula,Aplysiidae
Aplysilla,sulphurea,Darwinellidae
Apodytes,dimidiata,Metteniusaceae
Arctotis,arctotoides,Asteraceae
Artemisia,afra,Asteraceae
Aspalathus,linearis,Fabaceae
Athrixia,phyllicoides,Asteraceae
Axinella,sp. (unspecified),NA
Axinella,weltneri,Axinellidae
Ballota,africana,Lamiaceae
Bolusanthus,speciosus,Fabaceae
Boophane,disticha,Amaryllidaceae
Boophane,flava,Amaryllidaceae
Boophone,disticha,Amaryllidaceae
Boscia,albitrunca,Capparaceae
Brunsvigia,josephinæ,Amaryllidaceae
Brunsvigia,radulosa,Amaryllidaceae
Buddleja,saligna,Scrophulariaceae
Buddleja,salviifolia,Scrophulariaceae
Buxus,natalensis,Buxaceae
Callistemon,citrinus,Myrtaceae
Calpurnia,aurea,Fabaceae
Capnella,thyrsoidea,Capnellidae
Cedrelopsis,microfoliata,Rutaceae
Centratherum,punctatum,Asteraceae
Cephalodiscus,gilchristi,Cephalodiscidae
Ceratonia,siliqua,Fabaceae
Chromodoris,hamiltoni,Chromodorididae
Cissampelos,capensis,Menispermaceae
Cladiella,kashmani,Cladiellidae
Clathrina,aff. reticulum,Leucascidae
Cliona,celata,Clionaidae
Coleonema,album,Rutaceae
Combretum,apiculatum,Combretaceae
Combretum,caffrum,Combretaceae
Conium,speceis,Apiaceae
Crinum,bulbispermum,Amaryllidaceae
Crinum,macowanii,Amaryllidaceae
Crinum,moorei,Amaryllidaceae
Crotalaria,agatiflora,Fabaceae
Crotalaria,globifera,Fabaceae
Croton,dichogamus pax,Euphorbiaceae
Croton,gratissimus,Euphorbiaceae
Croton,megalobotrys,Euphorbiaceae
Croton,menyharthii,Euphorbiaceae
Croton,pseudopulchellus,Euphorbiaceae
Croton,steenkampianus,Euphorbiaceae
Curtisia,dentata (cornaceae),Curtisiaceae
Cussonia,paniculata,Araliaceae
Cyclacanthia,bellae,Latrunculiidae
Cyclacanthia,cloverlyae,Latrunculiidae
Cyclacanthia,mzimayensis,Latrunculiidae
Cyrtanthus,elatus,Amaryllidaceae
Cyrtanthus,falcatus,Amaryllidaceae
Cyrtanthus,obliquus,Amaryllidaceae
Datura,stramonium,Solanaceae
Dichilus,gracilis,Fabaceae
Dicoma,tomentosa,Asteraceae
Diospyros,lycioides,Ebenaceae
Distaplia,skoogi,Holozoidae
Distephanus,angulifolius,Asteraceae
Dodonaea,angustifolia,Sapindaceae
Drimia,altissima,Asparagaceae
Drimia,delagoensis,Asparagaceae
Drimia,depressa,Asparagaceae
Drimia,macrocentra,Asparagaceae
Drimia,robusta,Asparagaceae
Drimiopsis,burkei,Asparagaceae
Drimiopsis,maculata,Asparagaceae
Dumortiera,hirsuta,Dumortieraceae
Dysidea,species (unspecified),NA
Ecklonia,maxima,Cyperaceae
Elaeodendron,croceum,Celastraceae
Elephantorrhiza,elephantina,Fabaceae
Eleutherine,americana,Iridaceae
Eleutherobia,aurea,Parasphaerascleridae
Elytropappus,rhinocerotis,Asteraceae
Eriocephalus,punctulatus,Asteraceae
Eriosema,kraussianum,Fabaceae
Erythrina,caffra,Fabaceae
Erythrophleum,lasianthum,Fabaceae
Euclea,natalensis,Ebenaceae
Eucomis,autumnalis,Asparagaceae
Eucomis,autumnalis,Asparagaceae
Eucomis,bicolor,Asparagaceae
Eucomis,comosa,Asparagaceae
Eucomis,humilis,Asparagaceae
Eucomis,montana,Asparagaceae
Eucomis,pallidiflora,Asparagaceae
Eucomis,punctata,Asparagaceae
Eucomis,schiffii,Asparagaceae
Euphorbia,bothae,Euphorbiaceae
Eurotium,rubrum,Aspergillaceae
Euryops,floribundus,Asteraceae
Ficus,glumosa,Moraceae
Ficus,sansibarica,Moraceae
Foeniculum,vulgare,Apiaceae
Fusarium,proliferatum,Nectriaceae
Galenia,africana,Aizoaceae
Galtonia,candicans,Asparagaceae
Garcinia,livingstonei,Clusiaceae
Geigeria,aspera,Asteraceae
Gethyllis,ciliaris,Amaryllidaceae
Greyia,flanaganii,Francoaceae
Gunnera,perpensa,Gunneraceae
Gyrophyllum,sibogae,Pennatulidae
Haliclona,tulearensis,Chalinidae
Halleria,lucida,Stilbaceae
Harpagophytum,procumbens,Pedaliaceae
Helichrysum,asperum,Asteraceae
Helichrysum,cymosum,Asteraceae
Helichrysum,kraussii,Asteraceae
Helichrysum,melanacme,Asteraceae
Helichrysum,niveum,Asteraceae
Helichrysum,splendidum,Asteraceae
Helichrysum,teretifolium,Asteraceae
Helichrysum,umbraculigerum,Asteraceae
Hemiasterella,minor,Hemiasterellidae
Hoodia,gordonii,Apocynaceae
Hyaenanche,globosa,Picrodendraceae
Hypoxis,colchicifolia,Hypoxidaceae
Hypselodoris,capensis,Chromodorididae
Irvingia,gabonensis,Irvingiaceae
Jaspis,digonoxea,Ancorinidae
Kigelia,africana,Bignoniaceae
Lachenalia,rubida,Asparagaceae
Latrunculia, kerwathi,Latrunculiidae
Latrunculia, lunaviridis,Latrunculiidae
Latrunculia,algoaensis,Latrunculiidae
Latrunculia,bellae,Latrunculiidae
Latrunculia,biformis,Latrunculiidae
Latrunculia,gotzi,Latrunculiidae
Latrunculia,lorii,Latrunculiidae
Latrunculia,microacanthoxea,Latrunculiidae
Laurus,nobilis,Lauraceae
Lawsonia,inermis,Lythraceae
Ledebouria,ovatifolia,Asparagaceae
Ledebouria,socialis,Asparagaceae
Leminda,millecra,Lemindidae
Leminda,millecra griffiths,Lemindidae
Leonotis,leonurus,Lamiaceae
Leonotis,ocymifolia,Lamiaceae
Leptogorgia,palma,Gorgoniidae
Leucosidea,sericea,Rosaceae
Leucosidea,sericea (rosaceae),Rosaceae
Lippia,javanica,Verbenaceae
Lippia,rehmannii,Verbenaceae
Lippia,scaberrima,Verbenaceae
Lissoclinum,species,Didemnidae
Macrocystis,angustifolia,Laminariaceae
Macrotermes,natalensis,Termitidae
Marchantia,polymorpha,Marchantiaceae
