genus,species,usageKey,family
Acacia,karroo,3974754.0,Fabaceae
Acacia,mearnsii,2979775.0,Fabaceae
Acacia,nigrescens,3795961.0,Fabaceae
Acacia,nilotica,3974744.0,Fabaceae
Acokanthera,oppositifolia,3619546.0,Apocynaceae
Agapanthus,africanus,2854740.0,Amaryllidaceae
Albuca,fastigiata,2772375.0,Asparagaceae
Alepidea,ametymbica,3633432.0,Apiaceae
Aloe,castanea,8355770.0,Asphodelaceae
Aloe,claviflora,2777226.0,Asphodelaceae
Aloe,ferox,2777789.0,Asphodelaceae
Aloe,marlothii,2778219.0,Asphodelaceae
Aloe,peglerae,7920572.0,Asphodelaceae
Annona,senegalensis,5407251.0,Annonaceae
Antizoma,angustifolia,3830390.0,Menispermaceae
Apodytes,dimidiata,3597463.0,Metteniusaceae
Arctotis,arctotoides,7764662.0,Asteraceae
Artemisia,afra,8078031.0,Asteraceae
Aspalathus,linearis,5348220.0,Fabaceae
Athrixia,phyllicoides,3087104.0,Asteraceae
Ballota,africana,5428512.0,Lamiaceae
Bolusanthus,speciosus,2952355.0,Fabaceae
Boophane,disticha,2854664.0,Amaryllidaceae
Boophane,flava,2853222.0,Amaryllidaceae
Boscia,albitrunca,5602556.0,Capparaceae
Brunsvigia,josephinæ,4013911.0,Amaryllidaceae
Brunsvigia,radulosa,2853422.0,Amaryllidaceae
Buddleja,saligna,3173331.0,Scrophulariaceae
Buddleja,salviifolia,4055797.0,Scrophulariaceae
Buxus,natalensis,3988045.0,Buxaceae
Callistemon,citrinus,3173413.0,Myrtaceae
Calpurnia,aurea,2956417.0,Fabaceae
Cedrelopsis,microfoliata,3990256.0,Rutaceae
Centratherum,punctatum,3090864.0,Asteraceae
Ceratonia,siliqua,5356354.0,Fabaceae
Cissampelos,capensis,7514615.0,Menispermaceae
Coleonema,album,5594432.0,Rutaceae
Combretum,apiculatum,3698502.0,Combretaceae
Combretum,caffrum,3699709.0,Combretaceae
Conium,speceis,3034806.0,Apiaceae
Crinum,bulbispermum,2853668.0,Amaryllidaceae
Crinum,macowanii,2853929.0,Amaryllidaceae
Crinum,moorei,4928395.0,Amaryllidaceae
Crotalaria,agatiflora,2942820.0,Fabaceae
Crotalaria,globifera,2942923.0,Fabaceae
Croton,dichogamus,3059533.0,Euphorbiaceae
Croton,gratissimus,3058727.0,Euphorbiaceae
Croton,megalobotrys,3060022.0,Euphorbiaceae
Croton,menyharthii,3059559.0,Euphorbiaceae
Croton,pseudopulchellus,3058146.0,Euphorbiaceae
Croton,steenkampianus,3058591.0,Euphorbiaceae
Curtisia,dentata,8057620.0,Curtisiaceae
Cussonia,paniculata,3035211.0,Araliaceae
Cyrtanthus,elatus,5325993.0,Amaryllidaceae
Cyrtanthus,falcatus,5326032.0,Amaryllidaceae
Cyrtanthus,obliquus,5326072.0,Amaryllidaceae
Datura,stramonium,2928751.0,Solanaceae
Dichilus,gracilis,5359923.0,Fabaceae
Dicoma,tomentosa,3103375.0,Asteraceae
Diospyros,lycioides,4070128.0,Ebenaceae
Distephanus,angulifolius,5400049.0,Asteraceae
Dodonaea,angustifolia,5577690.0,Sapindaceae
Drimia,altissima,8295156.0,Asparagaceae
Drimia,delagoensis,2776829.0,Asparagaceae
Drimia,depressa,2773832.0,Asparagaceae
Drimia,macrocentra,2776864.0,Asparagaceae
Drimia,robusta,11038477.0,Asparagaceae
Drimiopsis,burkei,2776491.0,Asparagaceae
Drimiopsis,maculata,2776471.0,Asparagaceae
Ecklonia,maxima,3196111.0,Cyperaceae
Elaeodendron,croceum,3792084.0,Celastraceae
Elephantorrhiza,elephantina,2933010.0,Fabaceae
Eleutherine,americana,2749556.0,Iridaceae
Elytropappus,rhinocerotis,3104052.0,Asteraceae
Eriocephalus,punctulatus,3130102.0,Asteraceae
Eriosema,kraussianum,5349171.0,Fabaceae
Erythrina,caffra,5349557.0,Fabaceae
Erythrophleum,lasianthum,2971195.0,Fabaceae
Euclea,natalensis,6056978.0,Ebenaceae
Eucomis,autumnalis,2775117.0,Asparagaceae
Eucomis,bicolor,2775154.0,Asparagaceae
Eucomis,comosa,2775144.0,Asparagaceae
Eucomis,humilis,2775128.0,Asparagaceae
Eucomis,montana,2775143.0,Asparagaceae
Eucomis,pallidiflora,2775155.0,Asparagaceae
Eucomis,schiffii,2775130.0,Asparagaceae
Euphorbia,bothae,3064695.0,Euphorbiaceae
Euryops,floribundus,5394977.0,Asteraceae
Ficus,glumosa,5571065.0,Moraceae
Ficus,sansibarica,7262605.0,Moraceae
Foeniculum,vulgare,3034922.0,Apiaceae
Galenia,africana,9810425.0,Aizoaceae
Galtonia,candicans,2772982.0,Asparagaceae
Garcinia,livingstonei,3189564.0,Clusiaceae
Geigeria,aspera,3119865.0,Asteraceae
Gethyllis,ciliaris,2855231.0,Amaryllidaceae
Greyia,flanaganii,3750353.0,Francoaceae
Gunnera,perpensa,3723634.0,Gunneraceae
Halleria,lucida,5560356.0,Stilbaceae
Harpagophytum,procumbens,3585335.0,Pedaliaceae
Helichrysum,asperum,3131766.0,Asteraceae
Helichrysum,cymosum,3131345.0,Asteraceae
Helichrysum,kraussii,3131274.0,Asteraceae
Helichrysum,melanacme,3131968.0,Asteraceae
Helichrysum,niveum,7926500.0,Asteraceae
Helichrysum,splendidum,3131768.0,Asteraceae
Helichrysum,teretifolium,3131467.0,Asteraceae
Helichrysum,umbraculigerum,3131861.0,Asteraceae
Hoodia,gordonii,7956185.0,Apocynaceae
Hyaenanche,globosa,3075183.0,Picrodendraceae
Hypoxis,colchicifolia,2853001.0,Hypoxidaceae
Irvingia,gabonensis,5380976.0,Irvingiaceae
Kigelia,africana,3172561.0,Bignoniaceae
Lachenalia,rubida,2775284.0,Asparagaceae
Laurus,nobilis,3034015.0,Lauraceae
Lawsonia,inermis,5420912.0,Lythraceae
Ledebouria,ovatifolia,2773678.0,Asparagaceae
Ledebouria,socialis,2773791.0,Asparagaceae
Leonotis,leonurus,2926906.0,Lamiaceae
Leonotis,ocymifolia,7307634.0,Lamiaceae
Leucosidea,sericea,3030262.0,Rosaceae
Lippia,javanica,4086664.0,Verbenaceae
Lippia,rehmannii,4084647.0,Verbenaceae
Lippia,scaberrima,4084203.0,Verbenaceae
Massonia,bifolia,2770402.0,Asparagaceae
Massonia,pustulata,2770444.0,Asparagaceae
Maytenus,procumbens,3794114.0,Celastraceae
Melianthus,major,3845298.0,Melianthaceae
Merwilla,plumbea,2768144.0,Asparagaceae
Mimusops,obtusifolia,2883807.0,Sapotaceae
Myristica,fragrans,5406817.0,Myristicaceae
Myrothamnus,flabellifolia,4936263.0,Myrothamnaceae
Myrsine,africana,7331120.0,Primulaceae
Nerine,filifolia,5326933.0,Amaryllidaceae
Nerine,sarniensis,5326867.0,Amaryllidaceae
Ocimum,labiatum,3897145.0,Lamiaceae
Olax,dissitiflora,3685821.0,Olacaceae
Olea,africana,5830157.0,Oleaceae
Olea,capensis,7475694.0,Oleaceae
Olea,europaea,5415040.0,Oleaceae
Oncosiphon,piluliferum,10852031.0,Asteraceae
Ormocarpum,trichocarpum,2954028.0,Fabaceae
