original_scientificName,matchType,matchIssues,ID,rank,scientificName,authorship,status,acceptedID,acceptedScientificName,acceptedAuthorship,kingdom,phylum,class,order,family,genus,classification
Cratoxylum formosanum,higherrank,,3VFQ,genus,Cratoxylum,Blume,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,,"TRIBE:Cratoxyleae Benth. & Hook.fil.|FAMILY:Hypericaceae Juss.|ORDER:Malpighiales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Schizozygia caffaeoidea,higherrank,,7DRF,genus,Schizozygia,Baill.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,,"SUBTRIBE:Tabernaemontaninae A.DC.|TRIBE:Tabernaemontaneae G.Don|SUBFAMILY:Rauvolfioideae M.E.Endress & Bruyns|FAMILY:Apocynaceae Juss.|ORDER:Gentianales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Schizozygia caffaeoides,higherrank,,7DRF,genus,Schizozygia,Baill.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,,"SUBTRIBE:Tabernaemontaninae A.DC.|TRIBE:Tabernaemontaneae G.Don|SUBFAMILY:Rauvolfioideae M.E.Endress & Bruyns|FAMILY:Apocynaceae Juss.|ORDER:Gentianales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Leonurus japonicus,ambiguous,,3T76H,species,Leonurus japonicus,Houtt.,ambiguous synonym,V2PLY,Paraleonurus japonicus,"(Houtt.) M.L.Qian, Y.P.Chen & C.L.Xiang",Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Paraleonurus,"SPECIES:Paraleonurus japonicus (Houtt.) M.L.Qian, Y.P.Chen & C.L.Xiang|GENUS:Paraleonurus M.L.Qian, C.L.Xiang & Bo Li|TRIBE:Leonureae Dumort.|SUBFAMILY:Lamioideae Harley|FAMILY:Lamiaceae Martinov|ORDER:Lamiales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Polygonum salicifolium,ambiguous,,4L9XC,species,Polygonum salicifolium,Schur,ambiguous synonym,4F9Q3,Persicaria amphibia,(L.) Gray,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,"SPECIES:Persicaria amphibia (L.) Gray|GENUS:Persicaria (L.) Mill.|TRIBE:Persicarieae Dumort.|SUBFAMILY:Polygonoideae Eaton|FAMILY:Polygonaceae Juss.|ORDER:Caryophyllales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Centaurea amara,ambiguous,,S62Q,species,Centaurea amara,L.,synonym,7JHMR,Centaurea jacea subsp. jacea,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,"SUBSPECIES:Centaurea jacea subsp. jacea|SPECIES:Centaurea jacea L.|GENUS:Centaurea L.|SUBTRIBE:Centaureinae (Cass.) Dumort.|TRIBE:Cardueae Cass.|SUBFAMILY:Carduoideae Cass. ex Sweet|FAMILY:Asteraceae Dumort.|ORDER:Asterales Link|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Planchonella thyrsoides,higherrank,,8W2H3,genus,Planchonella,Pierre,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,,"SUBFAMILY:Chrysophylloideae Luerss.|FAMILY:Sapotaceae Juss.|ORDER:Ericales Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Planchonella thysoidea C.T.White,higherrank,,8W2H3,genus,Planchonella,Pierre,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,,"SUBFAMILY:Chrysophylloideae Luerss.|FAMILY:Sapotaceae Juss.|ORDER:Ericales Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Citrus unshiu,ambiguous,,VMMN,species,Citrus unshiu,(Swingle) Marcow.,synonym,VMM2,Citrus × reticulata,Blanco,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,"SPECIES:Citrus × reticulata Blanco|GENUS:Citrus L.|SUBFAMILY:Aurantioideae Eaton|FAMILY:Rutaceae Juss.|ORDER:Sapindales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Coutarea latifolia,higherrank,,8VWJ4,genus,Coutarea,Aubl.,synonym,8VXMQ,Exostema,(Pers.) Rich. ex Humb. & Bonpl.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Exostema,"GENUS:Exostema (Pers.) Rich. ex Humb. & Bonpl.|TRIBE:Chiococceae Benth. & Hook.fil.|SUBFAMILY:Dialypetalanthoideae Reveal|FAMILY:Rubiaceae Juss.|ORDER:Gentianales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Diospyros eriantha,ambiguous,,6CWWX,species,Diospyros eriantha,Champ. ex Benth.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,"GENUS:Diospyros L.|SUBFAMILY:Ebenoideae Thorne & Reveal|FAMILY:Ebenaceae Gürke|ORDER:Ericales Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Acacia discolor,ambiguous,,LSNYJ,species,Acacia discolor,Whitley ex Steud.,synonym,LSZKL,Acacia prismatica,Hoffmanns.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"SPECIES:Acacia prismatica Hoffmanns.|GENUS:Acacia Mill.|FAMILY:Fabaceae Lindl.|ORDER:Fabales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Boehmeria platyphylla,ambiguous,,9XHMQ,species,Boehmeria platyphylla,D.Don,ambiguous synonym,5MLRM,Boehmeria virgata var. macrostachya,(Wight) Friis & Wilmot-Dear,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Boehmeria,"VARIETY:Boehmeria virgata var. macrostachya (Wight) Friis & Wilmot-Dear|SPECIES:Boehmeria virgata (G.Forst.) Guill.|GENUS:Boehmeria Jacq.|TRIBE:Boehmerieae Gaudich.|FAMILY:Urticaceae Juss.|ORDER:Rosales Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Drymaria cordata,ambiguous,,VLLV6,species,Drymaria cordata,(L.) Willd. ex Schult.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Drymaria,"GENUS:Drymaria Willd. ex Schult.|TRIBE:Polycarpaeae DC.|FAMILY:Caryophyllaceae Juss.|ORDER:Caryophyllales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
