original_scientificName,matchType,matchIssues,ID,rank,scientificName,authorship,status,acceptedID,acceptedScientificName,acceptedAuthorship,kingdom,phylum,class,order,family,genus,classification
Hortia oreadica,variant,,3MQGN,species,Hortia oreadica,"Groppo, Kallunki & Pirani",accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Hortia,"GENUS:Hortia Vand.|SUBTRIBE:Hortiinae ined.|TRIBE:Pteleeae DC.|SUBFAMILY:Zanthoxyloideae A.Juss. ex Arn.|FAMILY:Rutaceae Juss.|ORDER:Sapindales Juss. ex Bercht. & J.Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Critonia morifolia,variant,,ZJKP,species,Critonia morifolia,(Mill.) R.M.King & H.Rob.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Critonia,"GENUS:Critonia P.Browne|SUBTRIBE:Critoniinae R.M.King & H.Rob.|TRIBE:Eupatorieae Cass.|SUBFAMILY:Asteroideae (Cass.) Lindl.|FAMILY:Asteraceae Dumort.|ORDER:Asterales Link|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Critonia quadrangularis,variant,,ZJL2,species,Critonia quadrangularis,(DC.) R.M.King & H.Rob.,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Critonia,"GENUS:Critonia P.Browne|SUBTRIBE:Critoniinae R.M.King & H.Rob.|TRIBE:Eupatorieae Cass.|SUBFAMILY:Asteroideae (Cass.) Lindl.|FAMILY:Asteraceae Dumort.|ORDER:Asterales Link|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Dolomiaea costus,variant,,6DD8D,species,Dolomiaea costus,(Falc.) Kasana & A.K.Pandey,accepted,,,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Dolomiaea,"GENUS:Dolomiaea DC.|SUBTRIBE:Saussureinae N.Garcia & Susanna|TRIBE:Cardueae Cass.|SUBFAMILY:Carduoideae Cass. ex Sweet|FAMILY:Asteraceae Dumort.|ORDER:Asterales Link|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|SUBKINGDOM:Pteridobiotina Britton & Brown|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania,variant,,9JBG4,genus,Frullania,Raddi,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,,"FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania muscicola,variant,,6K2WS,species,Frullania muscicola,Steph.,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,Frullania,"GENUS:Frullania Raddi|FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania nisquallensis,variant,,6K2WR,species,Frullania nisquallensis,Sull.,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,Frullania,"GENUS:Frullania Raddi|FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania serrata,variant,,6JQXN,species,Frullania serrata,Gottsche,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,Frullania,"GENUS:Frullania Raddi|FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania tamarisci,variant,,6JQWZ,species,Frullania tamarisci,(L.) Dumort.,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,Frullania,"GENUS:Frullania Raddi|FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
Frullania usamiensis,variant,,6JQYM,species,Frullania usamiensis,Steph.,accepted,,,,Plantae,Marchantiophyta,Jungermanniopsida,Frullaniales,Frullaniaceae,Frullania,"GENUS:Frullania Raddi|FAMILY:Frullaniaceae Ordway|ORDER:Frullaniales D. Bell & D.G. Long|SUBCLASS:Jungermanniidae Engl.|CLASS:Jungermanniopsida Stotler & Crand.-Stotl.|PHYLUM:Marchantiophyta Stotler & Crand.-Stotl.|SUBKINGDOM:Bryobiotina Trevis.|KINGDOM:Plantae|DOMAIN:Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978"
